total fitness: 2.0756, overhead fitness: 0.5558, acc fitness: 0.9640
GEN 0: best fitness = 2.0756 (took 111.71 sec)
total fitness: 2.1306, overhead fitness: 0.5753, acc fitness: 0.9800
total fitness: 2.0324, overhead fitness: 0.5172, acc fitness: 0.9980
total fitness: 1.9984, overhead fitness: 0.5082, acc fitness: 0.9820
total fitness: 2.0042, overhead fitness: 0.5061, acc fitness: 0.9920
total fitness: 2.1309, overhead fitness: 0.5754, acc fitness: 0.9800
total fitness: 2.0056, overhead fitness: 0.5098, acc fitness: 0.9860
total fitness: 2.1326, overhead fitness: 0.5763, acc fitness: 0.9800
total fitness: 2.0006, overhead fitness: 0.5083, acc fitness: 0.9840
total fitness: 2.0089, overhead fitness: 0.5084, acc fitness: 0.9920
total fitness: 2.0076, overhead fitness: 0.5078, acc fitness: 0.9920
total fitness: 2.1118, overhead fitness: 0.5649, acc fitness: 0.9820
total fitness: 2.1047, overhead fitness: 0.5683, acc fitness: 0.9680
total fitness: 2.1280, overhead fitness: 0.5750, acc fitness: 0.9780
total fitness: 2.1338, overhead fitness: 0.5759, acc fitness: 0.9820
total fitness: 2.0105, overhead fitness: 0.5083, acc fitness: 0.9940
total fitness: 2.1276, overhead fitness: 0.5748, acc fitness: 0.9780
total fitness: 2.0278, overhead fitness: 0.5169, acc fitness: 0.9940
total fitness: 2.1032, overhead fitness: 0.5666, acc fitness: 0.9700
total fitness: 2.0108, overhead fitness: 0.5084, acc fitness: 0.9940
total fitness: 2.1293, overhead fitness: 0.5766, acc fitness: 0.9760
total fitness: 2.0077, overhead fitness: 0.5079, acc fitness: 0.9920
total fitness: 2.0017, overhead fitness: 0.5088, acc fitness: 0.9840
total fitness: 2.0042, overhead fitness: 0.5091, acc fitness: 0.9860
total fitness: 2.0026, overhead fitness: 0.5093, acc fitness: 0.9840
total fitness: 2.0333, overhead fitness: 0.5196, acc fitness: 0.9940
total fitness: 2.0131, overhead fitness: 0.5096, acc fitness: 0.9940
total fitness: 2.0014, overhead fitness: 0.5087, acc fitness: 0.9840
total fitness: 2.1238, overhead fitness: 0.5759, acc fitness: 0.9720
