total fitness: 2.4672, overhead fitness: 0.9256, acc fitness: 0.6160
total fitness: 2.0582, overhead fitness: 0.5381, acc fitness: 0.9820
total fitness: 2.4601, overhead fitness: 0.8930, acc fitness: 0.6740
total fitness: 2.4362, overhead fitness: 0.9221, acc fitness: 0.5920
total fitness: 2.3588, overhead fitness: 0.9854, acc fitness: 0.3880
total fitness: 2.0008, overhead fitness: 0.5304, acc fitness: 0.9400
total fitness: 2.3234, overhead fitness: 0.9507, acc fitness: 0.4220
total fitness: 2.0496, overhead fitness: 0.5418, acc fitness: 0.9660
total fitness: 2.0546, overhead fitness: 0.5393, acc fitness: 0.9760
total fitness: 2.0338, overhead fitness: 0.5409, acc fitness: 0.9520
total fitness: 2.7231, overhead fitness: 0.8776, acc fitness: 0.9680
total fitness: 2.7002, overhead fitness: 0.8741, acc fitness: 0.9520
total fitness: 2.0926, overhead fitness: 0.5513, acc fitness: 0.9900
total fitness: 2.0814, overhead fitness: 0.5437, acc fitness: 0.9940
total fitness: 2.0739, overhead fitness: 0.5419, acc fitness: 0.9900
total fitness: 2.5646, overhead fitness: 0.9343, acc fitness: 0.6960
total fitness: 2.5011, overhead fitness: 0.9475, acc fitness: 0.6060
total fitness: 2.0388, overhead fitness: 0.5234, acc fitness: 0.9920
total fitness: 2.5731, overhead fitness: 0.9185, acc fitness: 0.7360
total fitness: 2.4872, overhead fitness: 0.9436, acc fitness: 0.6000
total fitness: 2.5040, overhead fitness: 0.8910, acc fitness: 0.7220
total fitness: 2.3717, overhead fitness: 0.9059, acc fitness: 0.5600
total fitness: 2.0771, overhead fitness: 0.5415, acc fitness: 0.9940
total fitness: 2.6320, overhead fitness: 0.9000, acc fitness: 0.8320
total fitness: 2.5257, overhead fitness: 0.9249, acc fitness: 0.6760
total fitness: 2.0249, overhead fitness: 0.5395, acc fitness: 0.9460
total fitness: 2.5521, overhead fitness: 0.9340, acc fitness: 0.6840
total fitness: 2.0702, overhead fitness: 0.5501, acc fitness: 0.9700
total fitness: 2.0359, overhead fitness: 0.5369, acc fitness: 0.9620
total fitness: 2.0155, overhead fitness: 0.5358, acc fitness: 0.9440
total fitness: 2.5265, overhead fitness: 0.9193, acc fitness: 0.6880
total fitness: 2.0106, overhead fitness: 0.5283, acc fitness: 0.9540
total fitness: 2.5885, overhead fitness: 0.9153, acc fitness: 0.7580
total fitness: 2.3822, overhead fitness: 0.8661, acc fitness: 0.6500
total fitness: 2.4098, overhead fitness: 0.9399, acc fitness: 0.5300
total fitness: 2.7161, overhead fitness: 0.8750, acc fitness: 0.9660
total fitness: 2.4753, overhead fitness: 0.9417, acc fitness: 0.5920
total fitness: 2.3599, overhead fitness: 0.9380, acc fitness: 0.4840
total fitness: 2.0304, overhead fitness: 0.5202, acc fitness: 0.9900
total fitness: 2.6138, overhead fitness: 0.8989, acc fitness: 0.8160
total fitness: 2.3977, overhead fitness: 0.9349, acc fitness: 0.5280
total fitness: 2.1034, overhead fitness: 0.5557, acc fitness: 0.9920
total fitness: 2.0216, overhead fitness: 0.5318, acc fitness: 0.9580
total fitness: 2.1034, overhead fitness: 0.5557, acc fitness: 0.9920
total fitness: 2.0275, overhead fitness: 0.5358, acc fitness: 0.9560
total fitness: 2.6372, overhead fitness: 0.9176, acc fitness: 0.8020
total fitness: 2.0825, overhead fitness: 0.5523, acc fitness: 0.9780
total fitness: 2.0987, overhead fitness: 0.5534, acc fitness: 0.9920
total fitness: 2.0572, overhead fitness: 0.5546, acc fitness: 0.9480
total fitness: 2.5236, overhead fitness: 0.9338, acc fitness: 0.6560
total fitness: 2.3441, overhead fitness: 0.6791, acc fitness: 0.9860
total fitness: 2.4822, overhead fitness: 0.9261, acc fitness: 0.6300
total fitness: 2.0826, overhead fitness: 0.5473, acc fitness: 0.9880
total fitness: 2.0865, overhead fitness: 0.5493, acc fitness: 0.9880
