total fitness: 2.0350, overhead fitness: 0.5255, acc fitness: 0.9840
BEST OF GEN 0: test overhead = 0.4719, test acc = 0.0172
GEN 0: best fitness = 2.0350 (took 230.04 sec)
total fitness: 2.2860, overhead fitness: 1.0000, acc fitness: 0.2860
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.6111, overhead fitness: 0.8335, acc fitness: 0.9440
total fitness: 1.9862, overhead fitness: 0.5001, acc fitness: 0.9860
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 1.9560, overhead fitness: 0.5000, acc fitness: 0.9560
total fitness: 2.4217, overhead fitness: 0.8908, acc fitness: 0.6400
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9560, overhead fitness: 0.5000, acc fitness: 0.9560
total fitness: 1.9933, overhead fitness: 0.5006, acc fitness: 0.9920
total fitness: 2.3710, overhead fitness: 0.9625, acc fitness: 0.4460
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.0665, overhead fitness: 0.5452, acc fitness: 0.9760
total fitness: 2.2860, overhead fitness: 1.0000, acc fitness: 0.2860
total fitness: 2.3585, overhead fitness: 0.8823, acc fitness: 0.5940
total fitness: 2.0969, overhead fitness: 0.5794, acc fitness: 0.9380
total fitness: 2.3166, overhead fitness: 0.9363, acc fitness: 0.4440
total fitness: 2.2860, overhead fitness: 1.0000, acc fitness: 0.2860
total fitness: 2.2386, overhead fitness: 0.9943, acc fitness: 0.2500
total fitness: 1.9929, overhead fitness: 0.5005, acc fitness: 0.9920
total fitness: 1.9966, overhead fitness: 0.5023, acc fitness: 0.9920
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 1.9766, overhead fitness: 0.5003, acc fitness: 0.9760
total fitness: 2.0842, overhead fitness: 0.5551, acc fitness: 0.9740
total fitness: 2.5140, overhead fitness: 0.8490, acc fitness: 0.8160
total fitness: 1.9500, overhead fitness: 0.5000, acc fitness: 0.9500
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 1.9973, overhead fitness: 0.5006, acc fitness: 0.9960
total fitness: 1.9565, overhead fitness: 0.5263, acc fitness: 0.9040
total fitness: 2.4805, overhead fitness: 0.8683, acc fitness: 0.7440
total fitness: 1.9460, overhead fitness: 0.5000, acc fitness: 0.9460
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
