total fitness: 2.4358, overhead fitness: 0.9309, acc fitness: 0.5740
total fitness: 2.3360, overhead fitness: 0.9240, acc fitness: 0.4880
total fitness: 2.0490, overhead fitness: 0.5385, acc fitness: 0.9720
total fitness: 2.3250, overhead fitness: 0.9295, acc fitness: 0.4660
total fitness: 2.0326, overhead fitness: 0.5353, acc fitness: 0.9620
total fitness: 2.0553, overhead fitness: 0.5457, acc fitness: 0.9640
total fitness: 2.0825, overhead fitness: 0.5463, acc fitness: 0.9900
total fitness: 2.0470, overhead fitness: 0.5435, acc fitness: 0.9600
total fitness: 2.0519, overhead fitness: 0.5409, acc fitness: 0.9700
total fitness: 2.4627, overhead fitness: 0.9304, acc fitness: 0.6020
total fitness: 2.5667, overhead fitness: 0.9413, acc fitness: 0.6840
total fitness: 2.5763, overhead fitness: 0.9401, acc fitness: 0.6960
total fitness: 2.0425, overhead fitness: 0.5363, acc fitness: 0.9700
total fitness: 2.0538, overhead fitness: 0.5439, acc fitness: 0.9660
total fitness: 2.0403, overhead fitness: 0.5372, acc fitness: 0.9660
total fitness: 2.3964, overhead fitness: 0.8992, acc fitness: 0.5980
total fitness: 2.6036, overhead fitness: 0.9208, acc fitness: 0.7620
total fitness: 2.5210, overhead fitness: 0.9185, acc fitness: 0.6840
total fitness: 2.4107, overhead fitness: 0.9054, acc fitness: 0.6000
total fitness: 2.4895, overhead fitness: 0.9317, acc fitness: 0.6260
total fitness: 2.5171, overhead fitness: 0.9295, acc fitness: 0.6580
total fitness: 2.0664, overhead fitness: 0.5382, acc fitness: 0.9900
total fitness: 2.4208, overhead fitness: 0.9424, acc fitness: 0.5360
total fitness: 2.7331, overhead fitness: 0.8915, acc fitness: 0.9500
total fitness: 2.0841, overhead fitness: 0.5471, acc fitness: 0.9900
total fitness: 2.0954, overhead fitness: 0.5527, acc fitness: 0.9900
total fitness: 2.0865, overhead fitness: 0.5652, acc fitness: 0.9560
total fitness: 2.0977, overhead fitness: 0.5548, acc fitness: 0.9880
total fitness: 2.0670, overhead fitness: 0.5375, acc fitness: 0.9920
total fitness: 2.0843, overhead fitness: 0.5481, acc fitness: 0.9880
total fitness: 2.0569, overhead fitness: 0.5434, acc fitness: 0.9700
total fitness: 2.0783, overhead fitness: 0.5422, acc fitness: 0.9940
total fitness: 2.5663, overhead fitness: 0.9042, acc fitness: 0.7580
total fitness: 2.0655, overhead fitness: 0.5458, acc fitness: 0.9740
total fitness: 2.0471, overhead fitness: 0.5395, acc fitness: 0.9680
total fitness: 2.0701, overhead fitness: 0.5421, acc fitness: 0.9860
total fitness: 2.0816, overhead fitness: 0.5418, acc fitness: 0.9980
total fitness: 2.3904, overhead fitness: 0.9282, acc fitness: 0.5340
total fitness: 2.0899, overhead fitness: 0.5549, acc fitness: 0.9800
total fitness: 2.1186, overhead fitness: 0.5643, acc fitness: 0.9900
total fitness: 2.1108, overhead fitness: 0.5564, acc fitness: 0.9980
total fitness: 2.4795, overhead fitness: 0.9297, acc fitness: 0.6200
total fitness: 2.0594, overhead fitness: 0.5407, acc fitness: 0.9780
total fitness: 2.0823, overhead fitness: 0.5491, acc fitness: 0.9840
total fitness: 2.0899, overhead fitness: 0.5639, acc fitness: 0.9620
total fitness: 2.0437, overhead fitness: 0.5358, acc fitness: 0.9720
total fitness: 2.0319, overhead fitness: 0.5349, acc fitness: 0.9620
total fitness: 2.0928, overhead fitness: 0.5524, acc fitness: 0.9880
total fitness: 2.1123, overhead fitness: 0.5621, acc fitness: 0.9880
total fitness: 2.0827, overhead fitness: 0.5473, acc fitness: 0.9880
total fitness: 2.0749, overhead fitness: 0.5395, acc fitness: 0.9960
total fitness: 2.0451, overhead fitness: 0.5386, acc fitness: 0.9680
total fitness: 2.5197, overhead fitness: 0.9359, acc fitness: 0.6480
total fitness: 2.0859, overhead fitness: 0.5459, acc fitness: 0.9940
total fitness: 2.0892, overhead fitness: 0.5486, acc fitness: 0.9920
total fitness: 2.0450, overhead fitness: 0.5405, acc fitness: 0.9640
total fitness: 2.1025, overhead fitness: 0.5673, acc fitness: 0.9680
total fitness: 2.0797, overhead fitness: 0.5428, acc fitness: 0.9940
total fitness: 2.0843, overhead fitness: 0.5482, acc fitness: 0.9880
total fitness: 2.0862, overhead fitness: 0.5461, acc fitness: 0.9940
total fitness: 2.1115, overhead fitness: 0.5587, acc fitness: 0.9940
total fitness: 2.3633, overhead fitness: 0.8656, acc fitness: 0.6320
total fitness: 2.0793, overhead fitness: 0.5417, acc fitness: 0.9960
total fitness: 2.0799, overhead fitness: 0.5590, acc fitness: 0.9620
total fitness: 2.3455, overhead fitness: 0.8827, acc fitness: 0.5800
total fitness: 2.0491, overhead fitness: 0.5466, acc fitness: 0.9560
total fitness: 2.1466, overhead fitness: 0.5743, acc fitness: 0.9980
total fitness: 2.0818, overhead fitness: 0.5559, acc fitness: 0.9700
total fitness: 2.0586, overhead fitness: 0.5583, acc fitness: 0.9420
total fitness: 2.5340, overhead fitness: 0.9220, acc fitness: 0.6900
total fitness: 2.4614, overhead fitness: 0.9087, acc fitness: 0.6440
total fitness: 2.0891, overhead fitness: 0.5516, acc fitness: 0.9860
total fitness: 2.1413, overhead fitness: 0.5747, acc fitness: 0.9920
total fitness: 2.0451, overhead fitness: 0.5516, acc fitness: 0.9420
total fitness: 2.0902, overhead fitness: 0.5521, acc fitness: 0.9860
total fitness: 2.0594, overhead fitness: 0.5447, acc fitness: 0.9700
total fitness: 2.0429, overhead fitness: 0.5345, acc fitness: 0.9740
total fitness: 2.0729, overhead fitness: 0.5394, acc fitness: 0.9940
total fitness: 2.4240, overhead fitness: 0.9280, acc fitness: 0.5680
