total fitness: 2.0351, overhead fitness: 0.5296, acc fitness: 0.9760
BEST OF GEN 0: test overhead = 0.4691, test acc = 0.0198
GEN 0: best fitness = 2.0351 (took 223.88 sec)
total fitness: 2.1223, overhead fitness: 0.5692, acc fitness: 0.9840
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.0856, overhead fitness: 0.5568, acc fitness: 0.9720
total fitness: 2.1054, overhead fitness: 0.5657, acc fitness: 0.9740
total fitness: 2.0809, overhead fitness: 0.5584, acc fitness: 0.9640
total fitness: 1.9908, overhead fitness: 0.5024, acc fitness: 0.9860
total fitness: 2.0894, overhead fitness: 0.5607, acc fitness: 0.9680
total fitness: 1.9925, overhead fitness: 0.5012, acc fitness: 0.9900
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.1877, overhead fitness: 0.6028, acc fitness: 0.9820
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.0888, overhead fitness: 0.5554, acc fitness: 0.9780
total fitness: 2.0842, overhead fitness: 0.5551, acc fitness: 0.9740
total fitness: 1.9911, overhead fitness: 0.5005, acc fitness: 0.9900
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 2.0791, overhead fitness: 0.5526, acc fitness: 0.9740
total fitness: 1.9924, overhead fitness: 0.5002, acc fitness: 0.9920
total fitness: 2.0823, overhead fitness: 0.5551, acc fitness: 0.9720
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9919, overhead fitness: 0.5019, acc fitness: 0.9880
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.0923, overhead fitness: 0.5601, acc fitness: 0.9720
total fitness: 1.9943, overhead fitness: 0.5001, acc fitness: 0.9940
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.0023, overhead fitness: 0.5041, acc fitness: 0.9940
total fitness: 1.9845, overhead fitness: 0.5003, acc fitness: 0.9840
total fitness: 1.9945, overhead fitness: 0.5002, acc fitness: 0.9940
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 2.1022, overhead fitness: 0.5661, acc fitness: 0.9700
total fitness: 2.1200, overhead fitness: 0.5710, acc fitness: 0.9780
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.1096, overhead fitness: 0.5698, acc fitness: 0.9700
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.0849, overhead fitness: 0.5564, acc fitness: 0.9720
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.1140, overhead fitness: 0.5700, acc fitness: 0.9740
total fitness: 1.9848, overhead fitness: 0.5004, acc fitness: 0.9840
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9944, overhead fitness: 0.5002, acc fitness: 0.9940
total fitness: 2.0856, overhead fitness: 0.5558, acc fitness: 0.9740
total fitness: 2.0957, overhead fitness: 0.5599, acc fitness: 0.9760
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.0953, overhead fitness: 0.5606, acc fitness: 0.9740
total fitness: 1.9885, overhead fitness: 0.5022, acc fitness: 0.9840
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.0813, overhead fitness: 0.5546, acc fitness: 0.9720
total fitness: 1.9963, overhead fitness: 0.5002, acc fitness: 0.9960
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
