total fitness: 2.5991, overhead fitness: 0.9425, acc fitness: 0.7140
BEST OF GEN 0: test overhead = 0.0589, test acc = 0.5100
GEN 0: best fitness = 2.5991 (took 258.80 sec)
total fitness: 2.5856, overhead fitness: 0.8538, acc fitness: 0.8780
total fitness: 2.6261, overhead fitness: 0.9691, acc fitness: 0.6880
total fitness: 2.4544, overhead fitness: 0.8242, acc fitness: 0.8060
total fitness: 2.7119, overhead fitness: 0.9700, acc fitness: 0.7720
total fitness: 2.6058, overhead fitness: 0.9689, acc fitness: 0.6680
total fitness: 2.6296, overhead fitness: 0.9668, acc fitness: 0.6960
total fitness: 2.5955, overhead fitness: 0.9798, acc fitness: 0.6360
total fitness: 2.6230, overhead fitness: 0.8425, acc fitness: 0.9380
total fitness: 2.5878, overhead fitness: 0.8589, acc fitness: 0.8700
total fitness: 2.5766, overhead fitness: 0.9713, acc fitness: 0.6340
total fitness: 2.6407, overhead fitness: 0.8603, acc fitness: 0.9200
total fitness: 2.6099, overhead fitness: 0.9679, acc fitness: 0.6740
total fitness: 2.5545, overhead fitness: 0.8642, acc fitness: 0.8260
total fitness: 2.5447, overhead fitness: 0.8653, acc fitness: 0.8140
total fitness: 2.7030, overhead fitness: 0.9795, acc fitness: 0.7440
total fitness: 2.6326, overhead fitness: 0.9693, acc fitness: 0.6940
total fitness: 2.6267, overhead fitness: 0.9704, acc fitness: 0.6860
total fitness: 2.6970, overhead fitness: 0.9795, acc fitness: 0.7380
total fitness: 2.4994, overhead fitness: 0.8667, acc fitness: 0.7660
total fitness: 2.5506, overhead fitness: 0.7823, acc fitness: 0.9860
total fitness: 2.5806, overhead fitness: 0.8423, acc fitness: 0.8960
total fitness: 2.6853, overhead fitness: 0.9807, acc fitness: 0.7240
total fitness: 2.5964, overhead fitness: 0.8552, acc fitness: 0.8860
total fitness: 2.7071, overhead fitness: 0.9745, acc fitness: 0.7580
total fitness: 2.5831, overhead fitness: 0.8386, acc fitness: 0.9060
total fitness: 2.5712, overhead fitness: 0.8686, acc fitness: 0.8340
total fitness: 2.5949, overhead fitness: 0.9734, acc fitness: 0.6480
total fitness: 2.5055, overhead fitness: 0.8697, acc fitness: 0.7660
total fitness: 2.5565, overhead fitness: 0.8672, acc fitness: 0.8220
total fitness: 2.6292, overhead fitness: 0.8776, acc fitness: 0.8740
total fitness: 2.6128, overhead fitness: 0.9714, acc fitness: 0.6700
total fitness: 2.5664, overhead fitness: 0.9752, acc fitness: 0.6160
total fitness: 2.5026, overhead fitness: 0.8723, acc fitness: 0.7580
total fitness: 2.5909, overhead fitness: 0.9854, acc fitness: 0.6200
total fitness: 2.6169, overhead fitness: 0.9735, acc fitness: 0.6700
total fitness: 2.5510, overhead fitness: 0.8675, acc fitness: 0.8160
total fitness: 2.5861, overhead fitness: 0.9771, acc fitness: 0.6320
total fitness: 2.5326, overhead fitness: 0.8773, acc fitness: 0.7780
total fitness: 2.5072, overhead fitness: 0.8696, acc fitness: 0.7680
total fitness: 2.6231, overhead fitness: 0.8355, acc fitness: 0.9520
total fitness: 2.5948, overhead fitness: 0.9754, acc fitness: 0.6440
total fitness: 2.5688, overhead fitness: 0.8704, acc fitness: 0.8280
total fitness: 2.5903, overhead fitness: 0.9781, acc fitness: 0.6340
total fitness: 2.5707, overhead fitness: 0.9724, acc fitness: 0.6260
total fitness: 2.5877, overhead fitness: 0.8558, acc fitness: 0.8760
total fitness: 2.6225, overhead fitness: 0.9703, acc fitness: 0.6820
total fitness: 2.5758, overhead fitness: 0.9789, acc fitness: 0.6180
total fitness: 2.5556, overhead fitness: 0.8688, acc fitness: 0.8180
total fitness: 2.5621, overhead fitness: 0.8550, acc fitness: 0.8520
total fitness: 2.5922, overhead fitness: 0.9791, acc fitness: 0.6340
total fitness: 2.6081, overhead fitness: 0.9680, acc fitness: 0.6720
total fitness: 2.5896, overhead fitness: 0.8688, acc fitness: 0.8520
total fitness: 2.5969, overhead fitness: 0.9805, acc fitness: 0.6360
total fitness: 2.4941, overhead fitness: 0.8691, acc fitness: 0.7560
total fitness: 2.5482, overhead fitness: 0.8661, acc fitness: 0.8160
total fitness: 2.5912, overhead fitness: 0.9796, acc fitness: 0.6320
total fitness: 2.4983, overhead fitness: 0.8221, acc fitness: 0.8540
total fitness: 2.5929, overhead fitness: 0.8494, acc fitness: 0.8940
total fitness: 2.6385, overhead fitness: 0.8642, acc fitness: 0.9100
total fitness: 2.6287, overhead fitness: 0.8564, acc fitness: 0.9160
total fitness: 2.6253, overhead fitness: 0.9697, acc fitness: 0.6860
total fitness: 2.6244, overhead fitness: 0.8512, acc fitness: 0.9220
total fitness: 2.5739, overhead fitness: 0.7949, acc fitness: 0.9840
total fitness: 2.5517, overhead fitness: 0.8719, acc fitness: 0.8080
total fitness: 2.5844, overhead fitness: 0.9712, acc fitness: 0.6420
total fitness: 2.5046, overhead fitness: 0.8713, acc fitness: 0.7620
total fitness: 2.7125, overhead fitness: 0.9743, acc fitness: 0.7640
total fitness: 2.5650, overhead fitness: 0.9735, acc fitness: 0.6180
total fitness: 2.6364, overhead fitness: 0.8652, acc fitness: 0.9060
