total fitness: 2.0830, overhead fitness: 0.5565, acc fitness: 0.9700
BEST OF GEN 0: test overhead = 0.4517, test acc = 0.0333
GEN 0: best fitness = 2.0830 (took 228.07 sec)
total fitness: 2.1192, overhead fitness: 0.5776, acc fitness: 0.9640
total fitness: 2.0006, overhead fitness: 0.5033, acc fitness: 0.9940
total fitness: 2.1401, overhead fitness: 0.5771, acc fitness: 0.9860
total fitness: 2.1686, overhead fitness: 0.5933, acc fitness: 0.9820
total fitness: 2.0054, overhead fitness: 0.5057, acc fitness: 0.9940
total fitness: 2.1443, overhead fitness: 0.5762, acc fitness: 0.9920
total fitness: 2.1237, overhead fitness: 0.5789, acc fitness: 0.9660
total fitness: 1.9901, overhead fitness: 0.5001, acc fitness: 0.9900
total fitness: 2.0073, overhead fitness: 0.5066, acc fitness: 0.9940
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.0090, overhead fitness: 0.5065, acc fitness: 0.9960
total fitness: 1.9939, overhead fitness: 0.5029, acc fitness: 0.9880
total fitness: 2.0084, overhead fitness: 0.5072, acc fitness: 0.9940
total fitness: 2.1473, overhead fitness: 0.5906, acc fitness: 0.9660
total fitness: 2.0001, overhead fitness: 0.5051, acc fitness: 0.9900
total fitness: 2.1461, overhead fitness: 0.5840, acc fitness: 0.9780
total fitness: 2.0084, overhead fitness: 0.5052, acc fitness: 0.9980
total fitness: 2.0055, overhead fitness: 0.5078, acc fitness: 0.9900
total fitness: 1.9982, overhead fitness: 0.5081, acc fitness: 0.9820
total fitness: 2.1359, overhead fitness: 0.5739, acc fitness: 0.9880
total fitness: 2.1454, overhead fitness: 0.5837, acc fitness: 0.9780
total fitness: 2.0103, overhead fitness: 0.5091, acc fitness: 0.9920
total fitness: 2.0093, overhead fitness: 0.5056, acc fitness: 0.9980
total fitness: 2.1395, overhead fitness: 0.5857, acc fitness: 0.9680
total fitness: 1.9772, overhead fitness: 0.5086, acc fitness: 0.9600
total fitness: 2.0068, overhead fitness: 0.5084, acc fitness: 0.9900
total fitness: 2.0036, overhead fitness: 0.5068, acc fitness: 0.9900
total fitness: 2.0027, overhead fitness: 0.5043, acc fitness: 0.9940
total fitness: 2.1294, overhead fitness: 0.5817, acc fitness: 0.9660
total fitness: 2.0063, overhead fitness: 0.5081, acc fitness: 0.9900
total fitness: 1.9990, overhead fitness: 0.5045, acc fitness: 0.9900
total fitness: 2.0001, overhead fitness: 0.5040, acc fitness: 0.9920
total fitness: 2.0060, overhead fitness: 0.5080, acc fitness: 0.9900
total fitness: 2.0158, overhead fitness: 0.5129, acc fitness: 0.9900
total fitness: 2.0006, overhead fitness: 0.5053, acc fitness: 0.9900
total fitness: 1.9786, overhead fitness: 0.5053, acc fitness: 0.9680
total fitness: 2.0002, overhead fitness: 0.5051, acc fitness: 0.9900
