total fitness: 2.0848, overhead fitness: 0.5464, acc fitness: 0.9920
BEST OF GEN 0: test overhead = 0.4568, test acc = 0.0262
GEN 0: best fitness = 2.0848 (took 162.25 sec)
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.2546, overhead fitness: 0.9733, acc fitness: 0.3080
total fitness: 1.9988, overhead fitness: 0.5064, acc fitness: 0.9860
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.1172, overhead fitness: 0.5746, acc fitness: 0.9680
total fitness: 2.1471, overhead fitness: 0.5815, acc fitness: 0.9840
total fitness: 2.0119, overhead fitness: 0.5109, acc fitness: 0.9900
total fitness: 1.9800, overhead fitness: 0.5000, acc fitness: 0.9800
total fitness: 2.1087, overhead fitness: 0.5714, acc fitness: 0.9660
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 2.1044, overhead fitness: 0.5862, acc fitness: 0.9320
total fitness: 2.2240, overhead fitness: 1.0000, acc fitness: 0.2240
total fitness: 2.1505, overhead fitness: 0.5952, acc fitness: 0.9600
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.1726, overhead fitness: 0.5973, acc fitness: 0.9780
total fitness: 1.9954, overhead fitness: 0.5017, acc fitness: 0.9920
total fitness: 1.9460, overhead fitness: 0.5000, acc fitness: 0.9460
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 1.9947, overhead fitness: 0.5003, acc fitness: 0.9940
total fitness: 2.1581, overhead fitness: 0.5841, acc fitness: 0.9900
total fitness: 2.0024, overhead fitness: 0.5022, acc fitness: 0.9980
total fitness: 1.9640, overhead fitness: 0.5000, acc fitness: 0.9640
total fitness: 1.9967, overhead fitness: 0.5003, acc fitness: 0.9960
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.1709, overhead fitness: 0.5974, acc fitness: 0.9760
total fitness: 2.0032, overhead fitness: 0.5096, acc fitness: 0.9840
total fitness: 2.2240, overhead fitness: 1.0000, acc fitness: 0.2240
total fitness: 2.2240, overhead fitness: 1.0000, acc fitness: 0.2240
total fitness: 2.1098, overhead fitness: 0.5769, acc fitness: 0.9560
total fitness: 2.0035, overhead fitness: 0.5088, acc fitness: 0.9860
total fitness: 2.2240, overhead fitness: 1.0000, acc fitness: 0.2240
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 1.9865, overhead fitness: 0.5043, acc fitness: 0.9780
total fitness: 2.0073, overhead fitness: 0.5076, acc fitness: 0.9920
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.2240, overhead fitness: 1.0000, acc fitness: 0.2240
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 1.9787, overhead fitness: 0.5003, acc fitness: 0.9780
total fitness: 2.1038, overhead fitness: 0.5919, acc fitness: 0.9200
total fitness: 2.0060, overhead fitness: 0.5040, acc fitness: 0.9980
total fitness: 2.2240, overhead fitness: 1.0000, acc fitness: 0.2240
total fitness: 2.2779, overhead fitness: 0.9760, acc fitness: 0.3260
total fitness: 1.9500, overhead fitness: 0.5000, acc fitness: 0.9500
total fitness: 1.9970, overhead fitness: 0.5005, acc fitness: 0.9960
total fitness: 1.9600, overhead fitness: 0.5000, acc fitness: 0.9600
total fitness: 2.1196, overhead fitness: 0.5858, acc fitness: 0.9480
total fitness: 2.0875, overhead fitness: 0.5677, acc fitness: 0.9520
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
