total fitness: 2.7239, overhead fitness: 0.9069, acc fitness: 0.9100
total fitness: 2.0695, overhead fitness: 0.5407, acc fitness: 0.9880
total fitness: 2.3722, overhead fitness: 0.9571, acc fitness: 0.4580
total fitness: 2.0885, overhead fitness: 0.5552, acc fitness: 0.9780
total fitness: 2.4805, overhead fitness: 0.9313, acc fitness: 0.6180
total fitness: 2.0351, overhead fitness: 0.5376, acc fitness: 0.9600
total fitness: 2.0883, overhead fitness: 0.5491, acc fitness: 0.9900
total fitness: 2.0847, overhead fitness: 0.5503, acc fitness: 0.9840
total fitness: 2.1062, overhead fitness: 0.5581, acc fitness: 0.9900
total fitness: 2.0809, overhead fitness: 0.5504, acc fitness: 0.9800
total fitness: 2.1840, overhead fitness: 0.5930, acc fitness: 0.9980
total fitness: 2.0653, overhead fitness: 0.5487, acc fitness: 0.9680
total fitness: 2.0961, overhead fitness: 0.5531, acc fitness: 0.9900
total fitness: 2.0793, overhead fitness: 0.5476, acc fitness: 0.9840
total fitness: 2.0958, overhead fitness: 0.5529, acc fitness: 0.9900
total fitness: 2.0928, overhead fitness: 0.5544, acc fitness: 0.9840
total fitness: 2.0735, overhead fitness: 0.5498, acc fitness: 0.9740
total fitness: 2.0550, overhead fitness: 0.5425, acc fitness: 0.9700
total fitness: 2.4123, overhead fitness: 0.9201, acc fitness: 0.5720
total fitness: 2.4244, overhead fitness: 0.9042, acc fitness: 0.6160
total fitness: 2.2716, overhead fitness: 0.7438, acc fitness: 0.7840
total fitness: 2.0772, overhead fitness: 0.5426, acc fitness: 0.9920
total fitness: 2.0664, overhead fitness: 0.5402, acc fitness: 0.9860
total fitness: 2.6704, overhead fitness: 0.9052, acc fitness: 0.8600
total fitness: 2.4195, overhead fitness: 0.9218, acc fitness: 0.5760
total fitness: 2.5983, overhead fitness: 0.9181, acc fitness: 0.7620
total fitness: 2.0762, overhead fitness: 0.5441, acc fitness: 0.9880
total fitness: 2.1024, overhead fitness: 0.5592, acc fitness: 0.9840
total fitness: 2.4805, overhead fitness: 0.9203, acc fitness: 0.6400
total fitness: 2.0992, overhead fitness: 0.5526, acc fitness: 0.9940
total fitness: 2.0877, overhead fitness: 0.5508, acc fitness: 0.9860
total fitness: 2.3108, overhead fitness: 0.6704, acc fitness: 0.9700
total fitness: 2.1176, overhead fitness: 0.5648, acc fitness: 0.9880
total fitness: 2.4708, overhead fitness: 0.9094, acc fitness: 0.6520
total fitness: 2.0468, overhead fitness: 0.5384, acc fitness: 0.9700
total fitness: 2.0705, overhead fitness: 0.5393, acc fitness: 0.9920
total fitness: 2.3691, overhead fitness: 0.9085, acc fitness: 0.5520
total fitness: 2.4154, overhead fitness: 0.9297, acc fitness: 0.5560
total fitness: 2.0704, overhead fitness: 0.5472, acc fitness: 0.9760
total fitness: 2.0846, overhead fitness: 0.5523, acc fitness: 0.9800
total fitness: 2.0482, overhead fitness: 0.5351, acc fitness: 0.9780
total fitness: 2.0864, overhead fitness: 0.5462, acc fitness: 0.9940
total fitness: 2.0470, overhead fitness: 0.5455, acc fitness: 0.9560
total fitness: 2.0539, overhead fitness: 0.5379, acc fitness: 0.9780
total fitness: 2.5955, overhead fitness: 0.9257, acc fitness: 0.7440
total fitness: 2.5009, overhead fitness: 0.9135, acc fitness: 0.6740
total fitness: 2.4206, overhead fitness: 0.9443, acc fitness: 0.5320
total fitness: 2.0545, overhead fitness: 0.5302, acc fitness: 0.9940
total fitness: 2.0670, overhead fitness: 0.5415, acc fitness: 0.9840
total fitness: 2.3995, overhead fitness: 0.9038, acc fitness: 0.5920
total fitness: 2.0779, overhead fitness: 0.5479, acc fitness: 0.9820
total fitness: 2.5390, overhead fitness: 0.9145, acc fitness: 0.7100
total fitness: 2.6118, overhead fitness: 0.9269, acc fitness: 0.7580
total fitness: 2.4963, overhead fitness: 0.9002, acc fitness: 0.6960
total fitness: 2.4260, overhead fitness: 0.9330, acc fitness: 0.5600
total fitness: 2.0574, overhead fitness: 0.5317, acc fitness: 0.9940
total fitness: 2.6114, overhead fitness: 0.8187, acc fitness: 0.9740
total fitness: 2.0520, overhead fitness: 0.5340, acc fitness: 0.9840
total fitness: 2.0796, overhead fitness: 0.5448, acc fitness: 0.9900
total fitness: 2.0685, overhead fitness: 0.5492, acc fitness: 0.9700
total fitness: 2.0964, overhead fitness: 0.5582, acc fitness: 0.9800
total fitness: 2.4689, overhead fitness: 0.9254, acc fitness: 0.6180
total fitness: 2.0450, overhead fitness: 0.5485, acc fitness: 0.9480
total fitness: 2.4679, overhead fitness: 0.9040, acc fitness: 0.6600
total fitness: 2.5092, overhead fitness: 0.9136, acc fitness: 0.6820
total fitness: 2.4334, overhead fitness: 0.9167, acc fitness: 0.6000
total fitness: 2.4235, overhead fitness: 0.9057, acc fitness: 0.6120
total fitness: 2.0564, overhead fitness: 0.5322, acc fitness: 0.9920
total fitness: 2.5922, overhead fitness: 0.8021, acc fitness: 0.9880
total fitness: 2.6105, overhead fitness: 0.9133, acc fitness: 0.7840
total fitness: 2.0751, overhead fitness: 0.5606, acc fitness: 0.9540
total fitness: 2.1105, overhead fitness: 0.5692, acc fitness: 0.9720
total fitness: 2.0826, overhead fitness: 0.5523, acc fitness: 0.9780
total fitness: 2.0517, overhead fitness: 0.5358, acc fitness: 0.9800
total fitness: 2.4805, overhead fitness: 0.9293, acc fitness: 0.6220
total fitness: 2.3359, overhead fitness: 0.9430, acc fitness: 0.4500
total fitness: 2.3869, overhead fitness: 0.8794, acc fitness: 0.6280
total fitness: 2.0886, overhead fitness: 0.5513, acc fitness: 0.9860
total fitness: 2.0918, overhead fitness: 0.5539, acc fitness: 0.9840
total fitness: 2.0711, overhead fitness: 0.5405, acc fitness: 0.9900
total fitness: 2.1032, overhead fitness: 0.5566, acc fitness: 0.9900
total fitness: 2.1215, overhead fitness: 0.5657, acc fitness: 0.9900
total fitness: 2.0691, overhead fitness: 0.5456, acc fitness: 0.9780
total fitness: 2.0987, overhead fitness: 0.5594, acc fitness: 0.9800
total fitness: 2.0803, overhead fitness: 0.5421, acc fitness: 0.9960
total fitness: 2.4818, overhead fitness: 0.9169, acc fitness: 0.6480
total fitness: 2.4898, overhead fitness: 0.9089, acc fitness: 0.6720
total fitness: 2.0695, overhead fitness: 0.5397, acc fitness: 0.9900
total fitness: 2.0986, overhead fitness: 0.5583, acc fitness: 0.9820
