total fitness: 2.0749, overhead fitness: 0.5505, acc fitness: 0.9740
total fitness: 2.0758, overhead fitness: 0.5479, acc fitness: 0.9800
total fitness: 2.0475, overhead fitness: 0.5468, acc fitness: 0.9540
total fitness: 2.5707, overhead fitness: 0.9243, acc fitness: 0.7220
total fitness: 2.0663, overhead fitness: 0.5461, acc fitness: 0.9740
total fitness: 2.0506, overhead fitness: 0.5443, acc fitness: 0.9620
total fitness: 2.0851, overhead fitness: 0.5455, acc fitness: 0.9940
total fitness: 2.0662, overhead fitness: 0.5591, acc fitness: 0.9480
total fitness: 2.0959, overhead fitness: 0.5509, acc fitness: 0.9940
total fitness: 2.0357, overhead fitness: 0.5358, acc fitness: 0.9640
total fitness: 2.0868, overhead fitness: 0.5564, acc fitness: 0.9740
total fitness: 2.4665, overhead fitness: 0.9093, acc fitness: 0.6480
total fitness: 2.0479, overhead fitness: 0.5480, acc fitness: 0.9520
total fitness: 2.0798, overhead fitness: 0.5459, acc fitness: 0.9880
total fitness: 2.0760, overhead fitness: 0.5430, acc fitness: 0.9900
total fitness: 2.5680, overhead fitness: 0.9160, acc fitness: 0.7360
total fitness: 2.0615, overhead fitness: 0.5357, acc fitness: 0.9900
total fitness: 2.0638, overhead fitness: 0.5339, acc fitness: 0.9960
total fitness: 2.0679, overhead fitness: 0.5380, acc fitness: 0.9920
total fitness: 2.0982, overhead fitness: 0.5541, acc fitness: 0.9900
total fitness: 2.0602, overhead fitness: 0.5371, acc fitness: 0.9860
total fitness: 2.5596, overhead fitness: 0.9358, acc fitness: 0.6880
total fitness: 2.4965, overhead fitness: 0.9003, acc fitness: 0.6960
total fitness: 2.0713, overhead fitness: 0.5417, acc fitness: 0.9880
total fitness: 2.4816, overhead fitness: 0.9288, acc fitness: 0.6240
total fitness: 2.0461, overhead fitness: 0.5420, acc fitness: 0.9620
total fitness: 2.0633, overhead fitness: 0.5376, acc fitness: 0.9880
total fitness: 2.0468, overhead fitness: 0.5354, acc fitness: 0.9760
total fitness: 2.0884, overhead fitness: 0.5562, acc fitness: 0.9760
total fitness: 2.1261, overhead fitness: 0.6060, acc fitness: 0.9140
total fitness: 2.0685, overhead fitness: 0.5392, acc fitness: 0.9900
