total fitness: 2.3465, overhead fitness: 0.9032, acc fitness: 0.5400
total fitness: 2.0630, overhead fitness: 0.5335, acc fitness: 0.9960
total fitness: 2.1035, overhead fitness: 0.5537, acc fitness: 0.9960
total fitness: 2.0610, overhead fitness: 0.5475, acc fitness: 0.9660
total fitness: 2.0705, overhead fitness: 0.5433, acc fitness: 0.9840
total fitness: 2.0729, overhead fitness: 0.5385, acc fitness: 0.9960
total fitness: 2.0363, overhead fitness: 0.5362, acc fitness: 0.9640
total fitness: 2.0287, overhead fitness: 0.5294, acc fitness: 0.9700
total fitness: 2.3622, overhead fitness: 0.9411, acc fitness: 0.4800
total fitness: 2.0499, overhead fitness: 0.5379, acc fitness: 0.9740
total fitness: 2.4702, overhead fitness: 0.9131, acc fitness: 0.6440
total fitness: 2.0427, overhead fitness: 0.5384, acc fitness: 0.9660
total fitness: 2.4743, overhead fitness: 0.9161, acc fitness: 0.6420
total fitness: 2.7037, overhead fitness: 0.9088, acc fitness: 0.8860
total fitness: 2.0818, overhead fitness: 0.5419, acc fitness: 0.9980
total fitness: 2.0992, overhead fitness: 0.5696, acc fitness: 0.9600
total fitness: 2.0788, overhead fitness: 0.5414, acc fitness: 0.9960
total fitness: 2.4456, overhead fitness: 0.9278, acc fitness: 0.5900
total fitness: 2.6376, overhead fitness: 0.9158, acc fitness: 0.8060
total fitness: 2.4527, overhead fitness: 0.9113, acc fitness: 0.6300
total fitness: 2.0887, overhead fitness: 0.5533, acc fitness: 0.9820
total fitness: 2.3631, overhead fitness: 0.9475, acc fitness: 0.4680
total fitness: 2.0711, overhead fitness: 0.5406, acc fitness: 0.9900
total fitness: 2.0839, overhead fitness: 0.5440, acc fitness: 0.9960
total fitness: 2.0501, overhead fitness: 0.5340, acc fitness: 0.9820
total fitness: 2.0372, overhead fitness: 0.5286, acc fitness: 0.9800
total fitness: 2.1035, overhead fitness: 0.5548, acc fitness: 0.9940
total fitness: 2.0379, overhead fitness: 0.5350, acc fitness: 0.9680
total fitness: 2.2734, overhead fitness: 0.9117, acc fitness: 0.4500
total fitness: 2.3903, overhead fitness: 0.9151, acc fitness: 0.5600
total fitness: 2.0764, overhead fitness: 0.5392, acc fitness: 0.9980
total fitness: 2.3935, overhead fitness: 0.9348, acc fitness: 0.5240
total fitness: 2.4803, overhead fitness: 0.9192, acc fitness: 0.6420
total fitness: 2.0708, overhead fitness: 0.5374, acc fitness: 0.9960
total fitness: 2.4502, overhead fitness: 0.9301, acc fitness: 0.5900
total fitness: 2.0806, overhead fitness: 0.5433, acc fitness: 0.9940
total fitness: 2.0665, overhead fitness: 0.5363, acc fitness: 0.9940
total fitness: 2.0441, overhead fitness: 0.5270, acc fitness: 0.9900
total fitness: 2.0965, overhead fitness: 0.5722, acc fitness: 0.9520
total fitness: 2.0854, overhead fitness: 0.5467, acc fitness: 0.9920
total fitness: 2.0573, overhead fitness: 0.5306, acc fitness: 0.9960
total fitness: 2.4500, overhead fitness: 0.9340, acc fitness: 0.5820
total fitness: 2.5118, overhead fitness: 0.9249, acc fitness: 0.6620
total fitness: 2.5323, overhead fitness: 0.9332, acc fitness: 0.6660
total fitness: 2.0740, overhead fitness: 0.5430, acc fitness: 0.9880
total fitness: 2.0754, overhead fitness: 0.5407, acc fitness: 0.9940
total fitness: 2.2011, overhead fitness: 0.6056, acc fitness: 0.9900
total fitness: 2.6065, overhead fitness: 0.9282, acc fitness: 0.7500
