total fitness: 2.0732, overhead fitness: 0.5436, acc fitness: 0.9860
total fitness: 2.2790, overhead fitness: 0.9365, acc fitness: 0.4060
total fitness: 2.3063, overhead fitness: 0.9441, acc fitness: 0.4180
total fitness: 2.7343, overhead fitness: 0.8741, acc fitness: 0.9860
total fitness: 2.0574, overhead fitness: 0.5397, acc fitness: 0.9780
total fitness: 2.0420, overhead fitness: 0.5350, acc fitness: 0.9720
total fitness: 2.3505, overhead fitness: 0.9412, acc fitness: 0.4680
total fitness: 2.0650, overhead fitness: 0.5415, acc fitness: 0.9820
total fitness: 2.0514, overhead fitness: 0.5377, acc fitness: 0.9760
total fitness: 2.0309, overhead fitness: 0.5315, acc fitness: 0.9680
total fitness: 2.4468, overhead fitness: 0.9334, acc fitness: 0.5800
total fitness: 2.0546, overhead fitness: 0.5323, acc fitness: 0.9900
total fitness: 2.0053, overhead fitness: 0.5236, acc fitness: 0.9580
total fitness: 2.7627, overhead fitness: 0.9254, acc fitness: 0.9120
total fitness: 2.0632, overhead fitness: 0.5406, acc fitness: 0.9820
total fitness: 2.4864, overhead fitness: 0.9392, acc fitness: 0.6080
total fitness: 2.0420, overhead fitness: 0.5410, acc fitness: 0.9600
total fitness: 2.5394, overhead fitness: 0.8967, acc fitness: 0.7460
total fitness: 2.0201, overhead fitness: 0.5350, acc fitness: 0.9500
total fitness: 2.0096, overhead fitness: 0.5418, acc fitness: 0.9260
total fitness: 2.0505, overhead fitness: 0.5463, acc fitness: 0.9580
total fitness: 2.3561, overhead fitness: 0.9471, acc fitness: 0.4620
total fitness: 2.0243, overhead fitness: 0.5341, acc fitness: 0.9560
total fitness: 2.0314, overhead fitness: 0.5367, acc fitness: 0.9580
total fitness: 2.0680, overhead fitness: 0.5380, acc fitness: 0.9920
total fitness: 2.1931, overhead fitness: 0.9046, acc fitness: 0.3840
total fitness: 2.3388, overhead fitness: 0.8934, acc fitness: 0.5520
total fitness: 2.0598, overhead fitness: 0.5439, acc fitness: 0.9720
total fitness: 2.3521, overhead fitness: 0.9091, acc fitness: 0.5340
total fitness: 2.0426, overhead fitness: 0.5373, acc fitness: 0.9680
total fitness: 2.4075, overhead fitness: 0.9497, acc fitness: 0.5080
total fitness: 2.0617, overhead fitness: 0.5438, acc fitness: 0.9740
total fitness: 2.0175, overhead fitness: 0.5267, acc fitness: 0.9640
total fitness: 2.0663, overhead fitness: 0.5342, acc fitness: 0.9980
total fitness: 2.0088, overhead fitness: 0.5284, acc fitness: 0.9520
total fitness: 2.0138, overhead fitness: 0.5289, acc fitness: 0.9560
total fitness: 2.4071, overhead fitness: 0.9096, acc fitness: 0.5880
total fitness: 2.0594, overhead fitness: 0.5507, acc fitness: 0.9580
total fitness: 2.0780, overhead fitness: 0.5600, acc fitness: 0.9580
total fitness: 2.0887, overhead fitness: 0.5504, acc fitness: 0.9880
total fitness: 2.0217, overhead fitness: 0.5398, acc fitness: 0.9420
total fitness: 2.0725, overhead fitness: 0.5442, acc fitness: 0.9840
total fitness: 2.0246, overhead fitness: 0.5303, acc fitness: 0.9640
total fitness: 2.0004, overhead fitness: 0.5292, acc fitness: 0.9420
total fitness: 2.0203, overhead fitness: 0.5381, acc fitness: 0.9440
total fitness: 2.0562, overhead fitness: 0.5311, acc fitness: 0.9940
total fitness: 2.0519, overhead fitness: 0.5270, acc fitness: 0.9980
total fitness: 2.2933, overhead fitness: 0.8607, acc fitness: 0.5720
total fitness: 2.0711, overhead fitness: 0.5426, acc fitness: 0.9860
total fitness: 2.2756, overhead fitness: 0.9268, acc fitness: 0.4220
total fitness: 2.0586, overhead fitness: 0.5373, acc fitness: 0.9840
total fitness: 2.3714, overhead fitness: 0.8357, acc fitness: 0.7000
total fitness: 2.0685, overhead fitness: 0.5402, acc fitness: 0.9880
total fitness: 2.0455, overhead fitness: 0.5427, acc fitness: 0.9600
total fitness: 2.6807, overhead fitness: 0.8484, acc fitness: 0.9840
total fitness: 2.0482, overhead fitness: 0.5431, acc fitness: 0.9620
total fitness: 2.0403, overhead fitness: 0.5482, acc fitness: 0.9440
total fitness: 2.0657, overhead fitness: 0.5418, acc fitness: 0.9820
total fitness: 2.0490, overhead fitness: 0.5325, acc fitness: 0.9840
total fitness: 2.3534, overhead fitness: 0.8907, acc fitness: 0.5720
total fitness: 2.0710, overhead fitness: 0.5435, acc fitness: 0.9840
total fitness: 2.0488, overhead fitness: 0.5334, acc fitness: 0.9820
total fitness: 2.3780, overhead fitness: 0.9450, acc fitness: 0.4880
total fitness: 2.0830, overhead fitness: 0.5415, acc fitness: 1.0000
total fitness: 2.0730, overhead fitness: 0.5455, acc fitness: 0.9820
total fitness: 2.0121, overhead fitness: 0.5230, acc fitness: 0.9660
total fitness: 2.0482, overhead fitness: 0.5511, acc fitness: 0.9460
total fitness: 2.4464, overhead fitness: 0.9212, acc fitness: 0.6040
total fitness: 2.1124, overhead fitness: 0.5582, acc fitness: 0.9960
total fitness: 2.0526, overhead fitness: 0.5373, acc fitness: 0.9780
total fitness: 2.0050, overhead fitness: 0.5195, acc fitness: 0.9660
total fitness: 2.0343, overhead fitness: 0.5361, acc fitness: 0.9620
total fitness: 2.0558, overhead fitness: 0.5449, acc fitness: 0.9660
total fitness: 2.3653, overhead fitness: 0.9467, acc fitness: 0.4720
total fitness: 2.0773, overhead fitness: 0.5416, acc fitness: 0.9940
total fitness: 2.0624, overhead fitness: 0.5502, acc fitness: 0.9620
total fitness: 2.0888, overhead fitness: 0.5634, acc fitness: 0.9620
total fitness: 2.0236, overhead fitness: 0.5298, acc fitness: 0.9640
total fitness: 2.0263, overhead fitness: 0.5221, acc fitness: 0.9820
