total fitness: 2.3487, overhead fitness: 0.9313, acc fitness: 0.4860
GEN 0: best fitness = 2.3487 (took 112.16 sec)
total fitness: 2.3346, overhead fitness: 0.8623, acc fitness: 0.6100
total fitness: 2.2487, overhead fitness: 0.9634, acc fitness: 0.3220
total fitness: 2.3245, overhead fitness: 0.8592, acc fitness: 0.6060
total fitness: 2.3436, overhead fitness: 0.8568, acc fitness: 0.6300
total fitness: 2.3734, overhead fitness: 0.8517, acc fitness: 0.6700
total fitness: 2.3340, overhead fitness: 0.8570, acc fitness: 0.6200
total fitness: 2.3392, overhead fitness: 0.8576, acc fitness: 0.6240
total fitness: 2.4375, overhead fitness: 0.8457, acc fitness: 0.7460
total fitness: 2.4891, overhead fitness: 0.8376, acc fitness: 0.8140
total fitness: 2.3236, overhead fitness: 0.8598, acc fitness: 0.6040
total fitness: 2.3278, overhead fitness: 0.8609, acc fitness: 0.6060
total fitness: 2.3423, overhead fitness: 0.8561, acc fitness: 0.6300
total fitness: 2.4034, overhead fitness: 0.8487, acc fitness: 0.7060
total fitness: 2.2584, overhead fitness: 0.9552, acc fitness: 0.3480
total fitness: 2.3613, overhead fitness: 0.8547, acc fitness: 0.6520
total fitness: 2.3465, overhead fitness: 0.8612, acc fitness: 0.6240
total fitness: 2.3344, overhead fitness: 0.8642, acc fitness: 0.6060
total fitness: 2.4212, overhead fitness: 0.8476, acc fitness: 0.7260
total fitness: 2.3699, overhead fitness: 0.8530, acc fitness: 0.6640
total fitness: 2.3711, overhead fitness: 0.8556, acc fitness: 0.6600
total fitness: 2.3328, overhead fitness: 0.8624, acc fitness: 0.6080
total fitness: 2.4132, overhead fitness: 0.8496, acc fitness: 0.7140
total fitness: 2.3401, overhead fitness: 0.8581, acc fitness: 0.6240
total fitness: 2.3873, overhead fitness: 0.8486, acc fitness: 0.6900
total fitness: 2.3527, overhead fitness: 0.8604, acc fitness: 0.6320
total fitness: 2.4202, overhead fitness: 0.8421, acc fitness: 0.7360
total fitness: 2.3924, overhead fitness: 0.8472, acc fitness: 0.6980
total fitness: 2.2406, overhead fitness: 0.9583, acc fitness: 0.3240
total fitness: 2.2351, overhead fitness: 0.9605, acc fitness: 0.3140
total fitness: 2.3621, overhead fitness: 0.8541, acc fitness: 0.6540
total fitness: 2.3198, overhead fitness: 0.8609, acc fitness: 0.5980
total fitness: 2.3899, overhead fitness: 0.8499, acc fitness: 0.6900
total fitness: 2.3449, overhead fitness: 0.8644, acc fitness: 0.6160
total fitness: 2.3504, overhead fitness: 0.8612, acc fitness: 0.6280
total fitness: 2.3391, overhead fitness: 0.8575, acc fitness: 0.6240
total fitness: 2.3764, overhead fitness: 0.8522, acc fitness: 0.6720
total fitness: 2.3600, overhead fitness: 0.8530, acc fitness: 0.6540
total fitness: 2.2596, overhead fitness: 0.9538, acc fitness: 0.3520
total fitness: 2.3832, overhead fitness: 0.8536, acc fitness: 0.6760
total fitness: 2.3331, overhead fitness: 0.8615, acc fitness: 0.6100
total fitness: 2.3513, overhead fitness: 0.8576, acc fitness: 0.6360
total fitness: 2.2265, overhead fitness: 0.9583, acc fitness: 0.3100
total fitness: 2.2637, overhead fitness: 0.9628, acc fitness: 0.3380
total fitness: 2.3666, overhead fitness: 0.8543, acc fitness: 0.6580
total fitness: 2.3147, overhead fitness: 0.8613, acc fitness: 0.5920
total fitness: 2.3363, overhead fitness: 0.8592, acc fitness: 0.6180
total fitness: 2.3384, overhead fitness: 0.8612, acc fitness: 0.6160
total fitness: 2.3841, overhead fitness: 0.8481, acc fitness: 0.6880
total fitness: 2.2585, overhead fitness: 0.9602, acc fitness: 0.3380
total fitness: 2.3278, overhead fitness: 0.8569, acc fitness: 0.6140
total fitness: 2.4116, overhead fitness: 0.8468, acc fitness: 0.7180
total fitness: 2.2401, overhead fitness: 0.9590, acc fitness: 0.3220
total fitness: 2.2465, overhead fitness: 0.9632, acc fitness: 0.3200
total fitness: 2.4901, overhead fitness: 0.8411, acc fitness: 0.8080
total fitness: 2.3648, overhead fitness: 0.8534, acc fitness: 0.6580
total fitness: 2.2879, overhead fitness: 0.9510, acc fitness: 0.3860
total fitness: 2.3339, overhead fitness: 0.8600, acc fitness: 0.6140
total fitness: 2.2398, overhead fitness: 0.9549, acc fitness: 0.3300
total fitness: 2.2406, overhead fitness: 0.9563, acc fitness: 0.3280
total fitness: 2.3567, overhead fitness: 0.8573, acc fitness: 0.6420
total fitness: 2.2447, overhead fitness: 0.9573, acc fitness: 0.3300
total fitness: 2.3339, overhead fitness: 0.8589, acc fitness: 0.6160
total fitness: 2.3357, overhead fitness: 0.8598, acc fitness: 0.6160
total fitness: 2.2490, overhead fitness: 0.9585, acc fitness: 0.3320
total fitness: 2.2142, overhead fitness: 0.9651, acc fitness: 0.2840
total fitness: 2.2330, overhead fitness: 0.9605, acc fitness: 0.3120
total fitness: 2.2438, overhead fitness: 0.9569, acc fitness: 0.3300
total fitness: 2.3669, overhead fitness: 0.8564, acc fitness: 0.6540
total fitness: 2.3304, overhead fitness: 0.8612, acc fitness: 0.6080
total fitness: 2.2935, overhead fitness: 0.9477, acc fitness: 0.3980
total fitness: 2.4431, overhead fitness: 0.8445, acc fitness: 0.7540
total fitness: 2.3596, overhead fitness: 0.8518, acc fitness: 0.6560
total fitness: 2.3260, overhead fitness: 0.8600, acc fitness: 0.6060
total fitness: 2.2761, overhead fitness: 0.9510, acc fitness: 0.3740
total fitness: 2.2140, overhead fitness: 0.9660, acc fitness: 0.2820
total fitness: 2.2226, overhead fitness: 0.9593, acc fitness: 0.3040
total fitness: 2.3281, overhead fitness: 0.8611, acc fitness: 0.6060
total fitness: 2.4462, overhead fitness: 0.8451, acc fitness: 0.7560
total fitness: 2.3690, overhead fitness: 0.8555, acc fitness: 0.6580
total fitness: 2.3607, overhead fitness: 0.8543, acc fitness: 0.6520
total fitness: 2.3612, overhead fitness: 0.8566, acc fitness: 0.6480
