total fitness: 2.0654, overhead fitness: 0.5497, acc fitness: 0.9660
total fitness: 2.4676, overhead fitness: 0.9098, acc fitness: 0.6480
total fitness: 2.0761, overhead fitness: 0.5480, acc fitness: 0.9800
total fitness: 2.4336, overhead fitness: 0.9328, acc fitness: 0.5680
total fitness: 2.4292, overhead fitness: 0.9276, acc fitness: 0.5740
total fitness: 2.0631, overhead fitness: 0.5496, acc fitness: 0.9640
total fitness: 2.5859, overhead fitness: 0.9100, acc fitness: 0.7660
total fitness: 2.3446, overhead fitness: 0.9243, acc fitness: 0.4960
total fitness: 2.0366, overhead fitness: 0.5433, acc fitness: 0.9500
total fitness: 2.0825, overhead fitness: 0.5683, acc fitness: 0.9460
total fitness: 2.0662, overhead fitness: 0.5561, acc fitness: 0.9540
total fitness: 2.3995, overhead fitness: 0.9207, acc fitness: 0.5580
total fitness: 2.0777, overhead fitness: 0.5398, acc fitness: 0.9980
total fitness: 2.3557, overhead fitness: 0.9328, acc fitness: 0.4900
total fitness: 2.3561, overhead fitness: 0.9151, acc fitness: 0.5260
total fitness: 2.6218, overhead fitness: 0.8719, acc fitness: 0.8780
total fitness: 2.0934, overhead fitness: 0.5737, acc fitness: 0.9460
total fitness: 2.0741, overhead fitness: 0.5450, acc fitness: 0.9840
total fitness: 2.0758, overhead fitness: 0.5469, acc fitness: 0.9820
total fitness: 2.0859, overhead fitness: 0.5449, acc fitness: 0.9960
total fitness: 2.4232, overhead fitness: 0.9346, acc fitness: 0.5540
total fitness: 2.3588, overhead fitness: 0.8734, acc fitness: 0.6120
total fitness: 2.0246, overhead fitness: 0.5313, acc fitness: 0.9620
total fitness: 2.0518, overhead fitness: 0.5499, acc fitness: 0.9520
total fitness: 2.4085, overhead fitness: 0.9193, acc fitness: 0.5700
total fitness: 2.4231, overhead fitness: 0.9215, acc fitness: 0.5800
total fitness: 2.0560, overhead fitness: 0.5420, acc fitness: 0.9720
total fitness: 2.0308, overhead fitness: 0.5444, acc fitness: 0.9420
total fitness: 2.0816, overhead fitness: 0.5438, acc fitness: 0.9940
total fitness: 2.3702, overhead fitness: 0.9321, acc fitness: 0.5060
total fitness: 2.5097, overhead fitness: 0.9189, acc fitness: 0.6720
total fitness: 2.0620, overhead fitness: 0.5490, acc fitness: 0.9640
total fitness: 2.0593, overhead fitness: 0.5446, acc fitness: 0.9700
total fitness: 2.0659, overhead fitness: 0.5489, acc fitness: 0.9680
total fitness: 2.0616, overhead fitness: 0.5328, acc fitness: 0.9960
total fitness: 2.0675, overhead fitness: 0.5388, acc fitness: 0.9900
total fitness: 2.0629, overhead fitness: 0.5454, acc fitness: 0.9720
total fitness: 2.0798, overhead fitness: 0.5469, acc fitness: 0.9860
total fitness: 2.4777, overhead fitness: 0.8909, acc fitness: 0.6960
total fitness: 2.4035, overhead fitness: 0.8227, acc fitness: 0.7580
total fitness: 2.0468, overhead fitness: 0.5324, acc fitness: 0.9820
total fitness: 2.0596, overhead fitness: 0.5348, acc fitness: 0.9900
total fitness: 2.0704, overhead fitness: 0.5472, acc fitness: 0.9760
total fitness: 2.0493, overhead fitness: 0.5547, acc fitness: 0.9400
total fitness: 2.0449, overhead fitness: 0.5415, acc fitness: 0.9620
total fitness: 2.4371, overhead fitness: 0.9315, acc fitness: 0.5740
total fitness: 2.0290, overhead fitness: 0.5405, acc fitness: 0.9480
total fitness: 2.0751, overhead fitness: 0.5375, acc fitness: 1.0000
total fitness: 2.0935, overhead fitness: 0.5527, acc fitness: 0.9880
total fitness: 2.0248, overhead fitness: 0.5324, acc fitness: 0.9600
total fitness: 2.4112, overhead fitness: 0.9396, acc fitness: 0.5320
total fitness: 2.5984, overhead fitness: 0.9232, acc fitness: 0.7520
total fitness: 2.0739, overhead fitness: 0.5400, acc fitness: 0.9940
total fitness: 2.0641, overhead fitness: 0.5461, acc fitness: 0.9720
total fitness: 2.6403, overhead fitness: 0.8942, acc fitness: 0.8520
total fitness: 2.1036, overhead fitness: 0.5678, acc fitness: 0.9680
total fitness: 2.0632, overhead fitness: 0.5356, acc fitness: 0.9920
total fitness: 2.6064, overhead fitness: 0.9312, acc fitness: 0.7440
total fitness: 2.7257, overhead fitness: 0.9038, acc fitness: 0.9180
total fitness: 2.0765, overhead fitness: 0.5443, acc fitness: 0.9880
total fitness: 2.4793, overhead fitness: 0.9166, acc fitness: 0.6460
total fitness: 2.0273, overhead fitness: 0.5366, acc fitness: 0.9540
total fitness: 2.0704, overhead fitness: 0.5432, acc fitness: 0.9840
total fitness: 2.3310, overhead fitness: 0.9285, acc fitness: 0.4740
total fitness: 2.4237, overhead fitness: 0.9319, acc fitness: 0.5600
total fitness: 2.3612, overhead fitness: 0.9206, acc fitness: 0.5200
total fitness: 2.0777, overhead fitness: 0.5428, acc fitness: 0.9920
total fitness: 2.5710, overhead fitness: 0.8945, acc fitness: 0.7820
total fitness: 2.3942, overhead fitness: 0.9321, acc fitness: 0.5300
total fitness: 2.0997, overhead fitness: 0.5519, acc fitness: 0.9960
total fitness: 2.0854, overhead fitness: 0.5517, acc fitness: 0.9820
total fitness: 2.0763, overhead fitness: 0.5622, acc fitness: 0.9520
total fitness: 2.0703, overhead fitness: 0.5372, acc fitness: 0.9960
total fitness: 2.0796, overhead fitness: 0.5438, acc fitness: 0.9920
total fitness: 2.4095, overhead fitness: 0.8018, acc fitness: 0.8060
total fitness: 2.0244, overhead fitness: 0.5332, acc fitness: 0.9580
total fitness: 2.6503, overhead fitness: 0.8861, acc fitness: 0.8780
total fitness: 2.3968, overhead fitness: 0.9164, acc fitness: 0.5640
total fitness: 2.0757, overhead fitness: 0.5468, acc fitness: 0.9820
total fitness: 2.0846, overhead fitness: 0.5493, acc fitness: 0.9860
total fitness: 2.0684, overhead fitness: 0.5502, acc fitness: 0.9680
total fitness: 2.0663, overhead fitness: 0.5492, acc fitness: 0.9680
total fitness: 2.0641, overhead fitness: 0.5351, acc fitness: 0.9940
total fitness: 2.0769, overhead fitness: 0.5404, acc fitness: 0.9960
total fitness: 2.3558, overhead fitness: 0.9209, acc fitness: 0.5140
total fitness: 2.3265, overhead fitness: 0.9452, acc fitness: 0.4360
total fitness: 2.0847, overhead fitness: 0.5523, acc fitness: 0.9800
total fitness: 2.0777, overhead fitness: 0.5429, acc fitness: 0.9920
total fitness: 2.5169, overhead fitness: 0.9165, acc fitness: 0.6840
total fitness: 2.3585, overhead fitness: 0.9272, acc fitness: 0.5040
total fitness: 2.0710, overhead fitness: 0.5425, acc fitness: 0.9860
total fitness: 2.4183, overhead fitness: 0.9462, acc fitness: 0.5260
total fitness: 2.0249, overhead fitness: 0.5334, acc fitness: 0.9580
total fitness: 2.3839, overhead fitness: 0.9159, acc fitness: 0.5520
total fitness: 2.0195, overhead fitness: 0.5328, acc fitness: 0.9540
total fitness: 2.4381, overhead fitness: 0.9300, acc fitness: 0.5780
total fitness: 2.0596, overhead fitness: 0.5488, acc fitness: 0.9620
total fitness: 2.0361, overhead fitness: 0.5381, acc fitness: 0.9600
total fitness: 2.0440, overhead fitness: 0.5400, acc fitness: 0.9640
total fitness: 2.0771, overhead fitness: 0.5476, acc fitness: 0.9820
BEST OF GEN 0: test overhead = 0.0976, test acc = 0.0771
GEN 0: best fitness = 2.7257 (took 700.54 sec)
total fitness: 2.1894, overhead fitness: 0.9887, acc fitness: 0.2120
total fitness: 2.4899, overhead fitness: 0.8489, acc fitness: 0.7920
total fitness: 1.9600, overhead fitness: 0.5000, acc fitness: 0.9600
total fitness: 1.9874, overhead fitness: 0.5017, acc fitness: 0.9840
total fitness: 1.9951, overhead fitness: 0.5005, acc fitness: 0.9940
total fitness: 2.0215, overhead fitness: 0.5168, acc fitness: 0.9880
total fitness: 2.5071, overhead fitness: 0.8425, acc fitness: 0.8220
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.4735, overhead fitness: 0.7428, acc fitness: 0.9880
total fitness: 2.4748, overhead fitness: 0.8464, acc fitness: 0.7820
total fitness: 1.9915, overhead fitness: 0.5007, acc fitness: 0.9900
total fitness: 1.9893, overhead fitness: 0.5006, acc fitness: 0.9880
total fitness: 2.3590, overhead fitness: 0.9645, acc fitness: 0.4300
total fitness: 2.3310, overhead fitness: 0.6805, acc fitness: 0.9700
total fitness: 2.5246, overhead fitness: 0.7973, acc fitness: 0.9300
total fitness: 2.2875, overhead fitness: 0.9917, acc fitness: 0.3040
total fitness: 2.2176, overhead fitness: 0.6158, acc fitness: 0.9860
total fitness: 2.6095, overhead fitness: 0.8267, acc fitness: 0.9560
total fitness: 2.0134, overhead fitness: 0.5097, acc fitness: 0.9940
total fitness: 2.6846, overhead fitness: 0.9483, acc fitness: 0.7880
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9580, overhead fitness: 0.5000, acc fitness: 0.9580
total fitness: 2.3564, overhead fitness: 0.8612, acc fitness: 0.6340
total fitness: 1.9904, overhead fitness: 0.5002, acc fitness: 0.9900
total fitness: 2.2231, overhead fitness: 0.9945, acc fitness: 0.2340
total fitness: 2.2967, overhead fitness: 0.9874, acc fitness: 0.3220
total fitness: 2.6854, overhead fitness: 0.9517, acc fitness: 0.7820
total fitness: 1.9934, overhead fitness: 0.5047, acc fitness: 0.9840
total fitness: 2.3141, overhead fitness: 0.6641, acc fitness: 0.9860
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.1693, overhead fitness: 0.5966, acc fitness: 0.9760
total fitness: 2.2320, overhead fitness: 1.0000, acc fitness: 0.2320
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.5636, overhead fitness: 0.7908, acc fitness: 0.9820
total fitness: 2.2236, overhead fitness: 0.9658, acc fitness: 0.2920
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.6346, overhead fitness: 0.8353, acc fitness: 0.9640
total fitness: 2.2534, overhead fitness: 0.9967, acc fitness: 0.2600
total fitness: 2.6205, overhead fitness: 0.8343, acc fitness: 0.9520
total fitness: 1.9928, overhead fitness: 0.5024, acc fitness: 0.9880
total fitness: 1.9900, overhead fitness: 0.5030, acc fitness: 0.9840
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
