total fitness: 2.3419, overhead fitness: 0.8729, acc fitness: 0.5960
total fitness: 2.4155, overhead fitness: 0.9497, acc fitness: 0.5160
total fitness: 2.4825, overhead fitness: 0.7473, acc fitness: 0.9880
total fitness: 2.0704, overhead fitness: 0.5392, acc fitness: 0.9920
total fitness: 2.0785, overhead fitness: 0.5633, acc fitness: 0.9520
total fitness: 2.2215, overhead fitness: 0.9517, acc fitness: 0.3180
total fitness: 2.2960, overhead fitness: 0.9060, acc fitness: 0.4840
total fitness: 2.0713, overhead fitness: 0.5577, acc fitness: 0.9560
total fitness: 2.3841, overhead fitness: 0.9270, acc fitness: 0.5300
total fitness: 2.4325, overhead fitness: 0.9372, acc fitness: 0.5580
total fitness: 2.0834, overhead fitness: 0.5497, acc fitness: 0.9840
total fitness: 2.0932, overhead fitness: 0.5636, acc fitness: 0.9660
total fitness: 2.4400, overhead fitness: 0.9220, acc fitness: 0.5960
total fitness: 2.0735, overhead fitness: 0.5497, acc fitness: 0.9740
total fitness: 2.6628, overhead fitness: 0.8494, acc fitness: 0.9640
total fitness: 2.2545, overhead fitness: 0.9512, acc fitness: 0.3520
total fitness: 2.0806, overhead fitness: 0.5603, acc fitness: 0.9600
total fitness: 2.0486, overhead fitness: 0.5533, acc fitness: 0.9420
total fitness: 2.3598, overhead fitness: 0.9559, acc fitness: 0.4480
total fitness: 2.0524, overhead fitness: 0.5452, acc fitness: 0.9620
total fitness: 2.0006, overhead fitness: 0.5333, acc fitness: 0.9340
total fitness: 2.3313, overhead fitness: 0.9337, acc fitness: 0.4640
total fitness: 2.0201, overhead fitness: 0.5341, acc fitness: 0.9520
total fitness: 2.4033, overhead fitness: 0.9226, acc fitness: 0.5580
total fitness: 2.0620, overhead fitness: 0.5420, acc fitness: 0.9780
total fitness: 2.0825, overhead fitness: 0.5483, acc fitness: 0.9860
total fitness: 2.4493, overhead fitness: 0.9006, acc fitness: 0.6480
total fitness: 2.0793, overhead fitness: 0.5426, acc fitness: 0.9940
total fitness: 2.0802, overhead fitness: 0.5461, acc fitness: 0.9880
total fitness: 2.0517, overhead fitness: 0.5319, acc fitness: 0.9880
total fitness: 2.0597, overhead fitness: 0.5379, acc fitness: 0.9840
total fitness: 2.0897, overhead fitness: 0.5509, acc fitness: 0.9880
total fitness: 2.0596, overhead fitness: 0.5558, acc fitness: 0.9480
total fitness: 2.0850, overhead fitness: 0.5475, acc fitness: 0.9900
total fitness: 2.0698, overhead fitness: 0.5519, acc fitness: 0.9660
total fitness: 2.0854, overhead fitness: 0.5557, acc fitness: 0.9740
total fitness: 2.3234, overhead fitness: 0.9037, acc fitness: 0.5160
total fitness: 2.0372, overhead fitness: 0.5466, acc fitness: 0.9440
total fitness: 2.4466, overhead fitness: 0.9323, acc fitness: 0.5820
total fitness: 2.4802, overhead fitness: 0.9431, acc fitness: 0.5940
total fitness: 2.0692, overhead fitness: 0.5476, acc fitness: 0.9740
total fitness: 2.3018, overhead fitness: 0.8719, acc fitness: 0.5580
total fitness: 2.0667, overhead fitness: 0.5693, acc fitness: 0.9280
total fitness: 2.0978, overhead fitness: 0.5529, acc fitness: 0.9920
total fitness: 2.1231, overhead fitness: 0.5675, acc fitness: 0.9880
total fitness: 2.1067, overhead fitness: 0.5654, acc fitness: 0.9760
