total fitness: 2.0664, overhead fitness: 0.5422, acc fitness: 0.9820
total fitness: 2.4817, overhead fitness: 0.9149, acc fitness: 0.6520
total fitness: 2.0689, overhead fitness: 0.5414, acc fitness: 0.9860
total fitness: 2.0717, overhead fitness: 0.5479, acc fitness: 0.9760
total fitness: 2.0536, overhead fitness: 0.5388, acc fitness: 0.9760
total fitness: 2.0756, overhead fitness: 0.5478, acc fitness: 0.9800
total fitness: 2.7228, overhead fitness: 0.8884, acc fitness: 0.9460
total fitness: 2.0622, overhead fitness: 0.5361, acc fitness: 0.9900
total fitness: 2.0760, overhead fitness: 0.5520, acc fitness: 0.9720
total fitness: 2.2468, overhead fitness: 0.6674, acc fitness: 0.9120
total fitness: 2.3735, overhead fitness: 0.9398, acc fitness: 0.4940
total fitness: 2.0933, overhead fitness: 0.5517, acc fitness: 0.9900
total fitness: 2.1004, overhead fitness: 0.5592, acc fitness: 0.9820
total fitness: 2.3974, overhead fitness: 0.7037, acc fitness: 0.9900
total fitness: 2.1185, overhead fitness: 0.5663, acc fitness: 0.9860
total fitness: 2.2437, overhead fitness: 0.9059, acc fitness: 0.4320
total fitness: 2.5412, overhead fitness: 0.9466, acc fitness: 0.6480
total fitness: 2.1178, overhead fitness: 0.5689, acc fitness: 0.9800
total fitness: 2.1014, overhead fitness: 0.5567, acc fitness: 0.9880
total fitness: 2.0702, overhead fitness: 0.5461, acc fitness: 0.9780
total fitness: 2.0920, overhead fitness: 0.5510, acc fitness: 0.9900
total fitness: 2.0395, overhead fitness: 0.5358, acc fitness: 0.9680
total fitness: 2.3862, overhead fitness: 0.9411, acc fitness: 0.5040
total fitness: 2.5892, overhead fitness: 0.8856, acc fitness: 0.8180
total fitness: 2.5846, overhead fitness: 0.9193, acc fitness: 0.7460
total fitness: 2.0841, overhead fitness: 0.5500, acc fitness: 0.9840
total fitness: 2.6169, overhead fitness: 0.9354, acc fitness: 0.7460
total fitness: 2.4458, overhead fitness: 0.9159, acc fitness: 0.6140
total fitness: 2.4263, overhead fitness: 0.9182, acc fitness: 0.5900
total fitness: 2.0406, overhead fitness: 0.5343, acc fitness: 0.9720
total fitness: 2.4547, overhead fitness: 0.9154, acc fitness: 0.6240
total fitness: 2.0702, overhead fitness: 0.5571, acc fitness: 0.9560
total fitness: 2.0816, overhead fitness: 0.5428, acc fitness: 0.9960
total fitness: 2.4065, overhead fitness: 0.8713, acc fitness: 0.6640
total fitness: 2.0830, overhead fitness: 0.5485, acc fitness: 0.9860
total fitness: 2.4845, overhead fitness: 0.8982, acc fitness: 0.6880
total fitness: 2.0539, overhead fitness: 0.5289, acc fitness: 0.9960
total fitness: 2.5706, overhead fitness: 0.9103, acc fitness: 0.7500
total fitness: 2.0855, overhead fitness: 0.5468, acc fitness: 0.9920
total fitness: 2.0652, overhead fitness: 0.5396, acc fitness: 0.9860
total fitness: 2.0979, overhead fitness: 0.5540, acc fitness: 0.9900
total fitness: 2.0740, overhead fitness: 0.5380, acc fitness: 0.9980
total fitness: 2.0533, overhead fitness: 0.5397, acc fitness: 0.9740
total fitness: 2.3536, overhead fitness: 0.8438, acc fitness: 0.6660
total fitness: 2.0921, overhead fitness: 0.5491, acc fitness: 0.9940
total fitness: 2.5457, overhead fitness: 0.9199, acc fitness: 0.7060
total fitness: 2.0366, overhead fitness: 0.5263, acc fitness: 0.9840
total fitness: 2.0296, overhead fitness: 0.5258, acc fitness: 0.9780
total fitness: 2.4401, overhead fitness: 0.8830, acc fitness: 0.6740
total fitness: 2.5705, overhead fitness: 0.8982, acc fitness: 0.7740
total fitness: 2.5251, overhead fitness: 0.9086, acc fitness: 0.7080
total fitness: 2.0861, overhead fitness: 0.5500, acc fitness: 0.9860
total fitness: 2.0726, overhead fitness: 0.5453, acc fitness: 0.9820
total fitness: 2.0528, overhead fitness: 0.5404, acc fitness: 0.9720
total fitness: 2.6114, overhead fitness: 0.9257, acc fitness: 0.7600
total fitness: 2.0730, overhead fitness: 0.5475, acc fitness: 0.9780
total fitness: 2.1321, overhead fitness: 0.5671, acc fitness: 0.9980
total fitness: 2.6760, overhead fitness: 0.8420, acc fitness: 0.9920
total fitness: 2.4790, overhead fitness: 0.9335, acc fitness: 0.6120
total fitness: 2.0554, overhead fitness: 0.5317, acc fitness: 0.9920
total fitness: 2.0532, overhead fitness: 0.5576, acc fitness: 0.9380
total fitness: 2.1014, overhead fitness: 0.5567, acc fitness: 0.9880
total fitness: 2.0561, overhead fitness: 0.5400, acc fitness: 0.9760
total fitness: 2.4587, overhead fitness: 0.9224, acc fitness: 0.6140
total fitness: 2.2257, overhead fitness: 0.9589, acc fitness: 0.3080
total fitness: 2.1267, overhead fitness: 0.5953, acc fitness: 0.9360
total fitness: 2.0634, overhead fitness: 0.5337, acc fitness: 0.9960
total fitness: 2.0669, overhead fitness: 0.5445, acc fitness: 0.9780
total fitness: 2.0645, overhead fitness: 0.5353, acc fitness: 0.9940
total fitness: 2.0784, overhead fitness: 0.5392, acc fitness: 1.0000
total fitness: 2.0584, overhead fitness: 0.5382, acc fitness: 0.9820
total fitness: 2.0508, overhead fitness: 0.5344, acc fitness: 0.9820
total fitness: 2.4711, overhead fitness: 0.9345, acc fitness: 0.6020
total fitness: 2.0651, overhead fitness: 0.5416, acc fitness: 0.9820
total fitness: 2.0743, overhead fitness: 0.5451, acc fitness: 0.9840
total fitness: 2.4900, overhead fitness: 0.9150, acc fitness: 0.6600
total fitness: 2.0859, overhead fitness: 0.5609, acc fitness: 0.9640
total fitness: 2.0757, overhead fitness: 0.5418, acc fitness: 0.9920
total fitness: 2.0895, overhead fitness: 0.5497, acc fitness: 0.9900
total fitness: 2.0551, overhead fitness: 0.5395, acc fitness: 0.9760
total fitness: 2.6932, overhead fitness: 0.8906, acc fitness: 0.9120
total fitness: 2.0608, overhead fitness: 0.5404, acc fitness: 0.9800
total fitness: 2.2792, overhead fitness: 0.9636, acc fitness: 0.3520
total fitness: 2.1072, overhead fitness: 0.5666, acc fitness: 0.9740
total fitness: 2.0644, overhead fitness: 0.5452, acc fitness: 0.9740
total fitness: 2.0932, overhead fitness: 0.5556, acc fitness: 0.9820
total fitness: 2.0707, overhead fitness: 0.5453, acc fitness: 0.9800
total fitness: 2.0257, overhead fitness: 0.5408, acc fitness: 0.9440
total fitness: 2.7335, overhead fitness: 0.8868, acc fitness: 0.9600
total fitness: 2.0458, overhead fitness: 0.5319, acc fitness: 0.9820
total fitness: 2.0592, overhead fitness: 0.5316, acc fitness: 0.9960
total fitness: 2.0402, overhead fitness: 0.5291, acc fitness: 0.9820
total fitness: 2.0925, overhead fitness: 0.5513, acc fitness: 0.9900
total fitness: 2.0713, overhead fitness: 0.5376, acc fitness: 0.9960
total fitness: 2.0870, overhead fitness: 0.5515, acc fitness: 0.9840
total fitness: 2.0704, overhead fitness: 0.5372, acc fitness: 0.9960
total fitness: 2.0718, overhead fitness: 0.5459, acc fitness: 0.9800
total fitness: 2.0775, overhead fitness: 0.5458, acc fitness: 0.9860
total fitness: 2.4370, overhead fitness: 0.8745, acc fitness: 0.6880
total fitness: 2.0961, overhead fitness: 0.5501, acc fitness: 0.9960
BEST OF GEN 0: test overhead = 0.1098, test acc = 0.0418
GEN 0: best fitness = 2.7335 (took 689.95 sec)
total fitness: 2.5278, overhead fitness: 0.9529, acc fitness: 0.6220
total fitness: 2.6604, overhead fitness: 0.9302, acc fitness: 0.8000
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9791, overhead fitness: 0.5006, acc fitness: 0.9780
total fitness: 2.5891, overhead fitness: 0.9305, acc fitness: 0.7280
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.6537, overhead fitness: 0.9378, acc fitness: 0.7780
total fitness: 2.5982, overhead fitness: 0.8141, acc fitness: 0.9700
total fitness: 2.6062, overhead fitness: 0.8221, acc fitness: 0.9620
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.3584, overhead fitness: 0.8202, acc fitness: 0.7180
total fitness: 2.6050, overhead fitness: 0.8245, acc fitness: 0.9560
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 1.9851, overhead fitness: 0.5056, acc fitness: 0.9740
total fitness: 2.2965, overhead fitness: 0.9603, acc fitness: 0.3760
total fitness: 1.9864, overhead fitness: 0.5042, acc fitness: 0.9780
total fitness: 1.9800, overhead fitness: 0.5000, acc fitness: 0.9800
total fitness: 2.7559, overhead fitness: 0.9209, acc fitness: 0.9140
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.0698, overhead fitness: 0.5349, acc fitness: 1.0000
total fitness: 2.6045, overhead fitness: 0.8152, acc fitness: 0.9740
total fitness: 2.6069, overhead fitness: 0.8195, acc fitness: 0.9680
total fitness: 2.7536, overhead fitness: 0.9338, acc fitness: 0.8860
total fitness: 2.5930, overhead fitness: 0.8215, acc fitness: 0.9500
total fitness: 2.2885, overhead fitness: 0.9562, acc fitness: 0.3760
total fitness: 1.9834, overhead fitness: 0.5017, acc fitness: 0.9800
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.2480, overhead fitness: 0.9630, acc fitness: 0.3220
total fitness: 2.1435, overhead fitness: 0.5828, acc fitness: 0.9780
total fitness: 1.9877, overhead fitness: 0.5029, acc fitness: 0.9820
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.7469, overhead fitness: 0.8954, acc fitness: 0.9560
total fitness: 2.0093, overhead fitness: 0.5067, acc fitness: 0.9960
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.7281, overhead fitness: 0.9331, acc fitness: 0.8620
total fitness: 2.3622, overhead fitness: 0.9661, acc fitness: 0.4300
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 1.9875, overhead fitness: 0.5017, acc fitness: 0.9840
total fitness: 2.6680, overhead fitness: 0.9340, acc fitness: 0.8000
total fitness: 2.0210, overhead fitness: 0.5115, acc fitness: 0.9980
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.4889, overhead fitness: 0.7785, acc fitness: 0.9320
total fitness: 2.2079, overhead fitness: 0.9820, acc fitness: 0.2440
total fitness: 2.3563, overhead fitness: 0.7972, acc fitness: 0.7620
total fitness: 2.4665, overhead fitness: 0.8083, acc fitness: 0.8500
total fitness: 2.5894, overhead fitness: 0.8097, acc fitness: 0.9700
