total fitness: 2.0764, overhead fitness: 0.5482, acc fitness: 0.9800
BEST OF GEN 0: test overhead = 0.4506, test acc = 0.0193
GEN 0: best fitness = 2.0764 (took 233.38 sec)
total fitness: 2.1027, overhead fitness: 0.5694, acc fitness: 0.9640
total fitness: 2.1083, overhead fitness: 0.5781, acc fitness: 0.9520
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.1167, overhead fitness: 0.5753, acc fitness: 0.9660
total fitness: 1.9861, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.0187, overhead fitness: 0.5103, acc fitness: 0.9980
total fitness: 2.0931, overhead fitness: 0.5636, acc fitness: 0.9660
total fitness: 1.9946, overhead fitness: 0.5033, acc fitness: 0.9880
total fitness: 2.1014, overhead fitness: 0.5747, acc fitness: 0.9520
total fitness: 1.9942, overhead fitness: 0.5001, acc fitness: 0.9940
total fitness: 2.2118, overhead fitness: 0.9999, acc fitness: 0.2120
total fitness: 1.9927, overhead fitness: 0.5004, acc fitness: 0.9920
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9981, overhead fitness: 0.5021, acc fitness: 0.9940
total fitness: 2.1141, overhead fitness: 0.5851, acc fitness: 0.9440
total fitness: 1.9863, overhead fitness: 0.5022, acc fitness: 0.9820
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.2136, overhead fitness: 0.6318, acc fitness: 0.9500
total fitness: 1.9989, overhead fitness: 0.5015, acc fitness: 0.9960
total fitness: 2.1434, overhead fitness: 0.5927, acc fitness: 0.9580
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.2020, overhead fitness: 1.0000, acc fitness: 0.2020
total fitness: 2.1044, overhead fitness: 0.5712, acc fitness: 0.9620
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.0881, overhead fitness: 0.5641, acc fitness: 0.9600
total fitness: 2.2020, overhead fitness: 1.0000, acc fitness: 0.2020
total fitness: 1.9976, overhead fitness: 0.5048, acc fitness: 0.9880
total fitness: 1.9976, overhead fitness: 0.5048, acc fitness: 0.9880
total fitness: 2.0968, overhead fitness: 0.5684, acc fitness: 0.9600
total fitness: 2.1073, overhead fitness: 0.5727, acc fitness: 0.9620
total fitness: 2.0868, overhead fitness: 0.5624, acc fitness: 0.9620
total fitness: 2.1679, overhead fitness: 0.6129, acc fitness: 0.9420
total fitness: 1.9937, overhead fitness: 0.5018, acc fitness: 0.9900
total fitness: 2.2020, overhead fitness: 1.0000, acc fitness: 0.2020
total fitness: 1.9981, overhead fitness: 0.5071, acc fitness: 0.9840
total fitness: 1.9881, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 1.9929, overhead fitness: 0.5035, acc fitness: 0.9860
total fitness: 2.0034, overhead fitness: 0.5067, acc fitness: 0.9900
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.0472, overhead fitness: 0.5306, acc fitness: 0.9860
total fitness: 2.1055, overhead fitness: 0.5788, acc fitness: 0.9480
total fitness: 1.9802, overhead fitness: 0.5001, acc fitness: 0.9800
