total fitness: 2.0974, overhead fitness: 0.5567, acc fitness: 0.9840
total fitness: 2.0487, overhead fitness: 0.5284, acc fitness: 0.9920
total fitness: 2.3563, overhead fitness: 0.9502, acc fitness: 0.4560
total fitness: 2.0321, overhead fitness: 0.5340, acc fitness: 0.9640
total fitness: 2.0111, overhead fitness: 0.5246, acc fitness: 0.9620
total fitness: 2.0435, overhead fitness: 0.5347, acc fitness: 0.9740
total fitness: 2.0464, overhead fitness: 0.5352, acc fitness: 0.9760
total fitness: 2.5728, overhead fitness: 0.8694, acc fitness: 0.8340
total fitness: 2.0701, overhead fitness: 0.5440, acc fitness: 0.9820
total fitness: 2.0762, overhead fitness: 0.5441, acc fitness: 0.9880
total fitness: 2.4609, overhead fitness: 0.9255, acc fitness: 0.6100
total fitness: 2.3760, overhead fitness: 0.9630, acc fitness: 0.4500
total fitness: 2.0501, overhead fitness: 0.5601, acc fitness: 0.9300
total fitness: 2.0800, overhead fitness: 0.5430, acc fitness: 0.9940
total fitness: 2.2847, overhead fitness: 0.9574, acc fitness: 0.3700
total fitness: 2.0243, overhead fitness: 0.5461, acc fitness: 0.9320
total fitness: 2.0287, overhead fitness: 0.5544, acc fitness: 0.9200
total fitness: 2.7038, overhead fitness: 0.8779, acc fitness: 0.9480
total fitness: 2.5436, overhead fitness: 0.9488, acc fitness: 0.6460
total fitness: 2.3817, overhead fitness: 0.8879, acc fitness: 0.6060
total fitness: 2.0468, overhead fitness: 0.5294, acc fitness: 0.9880
total fitness: 2.4615, overhead fitness: 0.9138, acc fitness: 0.6340
total fitness: 2.0184, overhead fitness: 0.5262, acc fitness: 0.9660
total fitness: 2.3185, overhead fitness: 0.8922, acc fitness: 0.5340
total fitness: 2.0134, overhead fitness: 0.5257, acc fitness: 0.9620
total fitness: 2.2984, overhead fitness: 0.9692, acc fitness: 0.3600
total fitness: 2.0424, overhead fitness: 0.5482, acc fitness: 0.9460
total fitness: 2.0521, overhead fitness: 0.5431, acc fitness: 0.9660
total fitness: 2.3521, overhead fitness: 0.8981, acc fitness: 0.5560
total fitness: 2.4291, overhead fitness: 0.9096, acc fitness: 0.6100
total fitness: 2.0330, overhead fitness: 0.5405, acc fitness: 0.9520
total fitness: 2.4252, overhead fitness: 0.8836, acc fitness: 0.6580
total fitness: 2.4270, overhead fitness: 0.9295, acc fitness: 0.5680
total fitness: 2.0482, overhead fitness: 0.5381, acc fitness: 0.9720
total fitness: 2.2963, overhead fitness: 0.9291, acc fitness: 0.4380
total fitness: 2.5402, overhead fitness: 0.9121, acc fitness: 0.7160
total fitness: 2.3207, overhead fitness: 0.6653, acc fitness: 0.9900
total fitness: 2.0564, overhead fitness: 0.5312, acc fitness: 0.9940
total fitness: 2.0289, overhead fitness: 0.5345, acc fitness: 0.9600
total fitness: 2.4309, overhead fitness: 0.8965, acc fitness: 0.6380
total fitness: 2.3837, overhead fitness: 0.9579, acc fitness: 0.4680
total fitness: 2.7279, overhead fitness: 0.8880, acc fitness: 0.9520
total fitness: 2.0499, overhead fitness: 0.5530, acc fitness: 0.9440
total fitness: 2.0610, overhead fitness: 0.5485, acc fitness: 0.9640
total fitness: 2.0698, overhead fitness: 0.5449, acc fitness: 0.9800
total fitness: 2.0420, overhead fitness: 0.5380, acc fitness: 0.9660
total fitness: 2.6960, overhead fitness: 0.9160, acc fitness: 0.8640
total fitness: 2.3055, overhead fitness: 0.8907, acc fitness: 0.5240
total fitness: 2.0256, overhead fitness: 0.5258, acc fitness: 0.9740
total fitness: 2.6134, overhead fitness: 0.9107, acc fitness: 0.7920
total fitness: 2.0038, overhead fitness: 0.5349, acc fitness: 0.9340
total fitness: 2.6795, overhead fitness: 0.8758, acc fitness: 0.9280
total fitness: 2.3399, overhead fitness: 0.9289, acc fitness: 0.4820
total fitness: 2.0256, overhead fitness: 0.5288, acc fitness: 0.9680
total fitness: 2.4995, overhead fitness: 0.9447, acc fitness: 0.6100
total fitness: 2.0802, overhead fitness: 0.5481, acc fitness: 0.9840
total fitness: 2.0609, overhead fitness: 0.5385, acc fitness: 0.9840
total fitness: 2.0408, overhead fitness: 0.5274, acc fitness: 0.9860
total fitness: 2.1514, overhead fitness: 0.5837, acc fitness: 0.9840
total fitness: 2.0653, overhead fitness: 0.5347, acc fitness: 0.9960
total fitness: 2.5086, overhead fitness: 0.9033, acc fitness: 0.7020
total fitness: 2.4383, overhead fitness: 0.9172, acc fitness: 0.6040
total fitness: 2.0494, overhead fitness: 0.5327, acc fitness: 0.9840
total fitness: 2.3959, overhead fitness: 0.9279, acc fitness: 0.5400
total fitness: 2.3290, overhead fitness: 0.9525, acc fitness: 0.4240
total fitness: 2.0262, overhead fitness: 0.5341, acc fitness: 0.9580
total fitness: 2.0942, overhead fitness: 0.5501, acc fitness: 0.9940
total fitness: 2.0267, overhead fitness: 0.5363, acc fitness: 0.9540
