total fitness: 2.0551, overhead fitness: 0.5455, acc fitness: 0.9640
BEST OF GEN 0: test overhead = 0.4596, test acc = 0.0251
GEN 0: best fitness = 2.0551 (took 159.55 sec)
total fitness: 1.9727, overhead fitness: 0.5003, acc fitness: 0.9720
total fitness: 1.9781, overhead fitness: 0.5030, acc fitness: 0.9720
total fitness: 2.1007, overhead fitness: 0.5683, acc fitness: 0.9640
total fitness: 1.9928, overhead fitness: 0.5114, acc fitness: 0.9700
total fitness: 1.9862, overhead fitness: 0.5061, acc fitness: 0.9740
total fitness: 2.1282, overhead fitness: 0.5851, acc fitness: 0.9580
total fitness: 2.0971, overhead fitness: 0.5675, acc fitness: 0.9620
total fitness: 2.0044, overhead fitness: 0.5132, acc fitness: 0.9780
total fitness: 1.9728, overhead fitness: 0.5044, acc fitness: 0.9640
total fitness: 2.1294, overhead fitness: 0.5867, acc fitness: 0.9560
total fitness: 1.9778, overhead fitness: 0.5049, acc fitness: 0.9680
total fitness: 1.9992, overhead fitness: 0.5126, acc fitness: 0.9740
total fitness: 1.9680, overhead fitness: 0.5000, acc fitness: 0.9680
total fitness: 2.0076, overhead fitness: 0.5148, acc fitness: 0.9780
total fitness: 2.0021, overhead fitness: 0.5121, acc fitness: 0.9780
total fitness: 2.0000, overhead fitness: 0.5130, acc fitness: 0.9740
total fitness: 2.1298, overhead fitness: 0.5859, acc fitness: 0.9580
total fitness: 2.1167, overhead fitness: 0.5794, acc fitness: 0.9580
total fitness: 1.9680, overhead fitness: 0.5000, acc fitness: 0.9680
total fitness: 1.9924, overhead fitness: 0.5082, acc fitness: 0.9760
total fitness: 2.1224, overhead fitness: 0.5822, acc fitness: 0.9580
total fitness: 2.0181, overhead fitness: 0.5230, acc fitness: 0.9720
total fitness: 1.9968, overhead fitness: 0.5114, acc fitness: 0.9740
total fitness: 2.1057, overhead fitness: 0.5698, acc fitness: 0.9660
total fitness: 1.9817, overhead fitness: 0.5039, acc fitness: 0.9740
total fitness: 2.0065, overhead fitness: 0.5133, acc fitness: 0.9800
total fitness: 1.9989, overhead fitness: 0.5104, acc fitness: 0.9780
total fitness: 1.9856, overhead fitness: 0.5108, acc fitness: 0.9640
total fitness: 2.0029, overhead fitness: 0.5124, acc fitness: 0.9780
total fitness: 1.9847, overhead fitness: 0.5043, acc fitness: 0.9760
total fitness: 1.9839, overhead fitness: 0.5060, acc fitness: 0.9720
total fitness: 2.0128, overhead fitness: 0.5194, acc fitness: 0.9740
total fitness: 1.9700, overhead fitness: 0.5000, acc fitness: 0.9700
total fitness: 1.9760, overhead fitness: 0.5000, acc fitness: 0.9760
total fitness: 1.9700, overhead fitness: 0.5000, acc fitness: 0.9700
total fitness: 1.9783, overhead fitness: 0.5001, acc fitness: 0.9780
total fitness: 1.9850, overhead fitness: 0.5025, acc fitness: 0.9800
total fitness: 2.1031, overhead fitness: 0.5706, acc fitness: 0.9620
total fitness: 1.9700, overhead fitness: 0.5000, acc fitness: 0.9700
total fitness: 2.1088, overhead fitness: 0.5724, acc fitness: 0.9640
total fitness: 1.9953, overhead fitness: 0.5097, acc fitness: 0.9760
total fitness: 2.1115, overhead fitness: 0.5717, acc fitness: 0.9680
total fitness: 2.1346, overhead fitness: 0.5823, acc fitness: 0.9700
total fitness: 2.0950, overhead fitness: 0.5665, acc fitness: 0.9620
total fitness: 2.0252, overhead fitness: 0.5286, acc fitness: 0.9680
total fitness: 1.9974, overhead fitness: 0.5117, acc fitness: 0.9740
