total fitness: 2.0770, overhead fitness: 0.5515, acc fitness: 0.9740
BEST OF GEN 0: test overhead = 0.4467, test acc = 0.0170
GEN 0: best fitness = 2.0770 (took 226.35 sec)
total fitness: 1.9980, overhead fitness: 0.5020, acc fitness: 0.9940
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.4156, overhead fitness: 0.7418, acc fitness: 0.9320
total fitness: 1.9962, overhead fitness: 0.5011, acc fitness: 0.9940
total fitness: 2.0219, overhead fitness: 0.5140, acc fitness: 0.9940
total fitness: 2.3485, overhead fitness: 0.8783, acc fitness: 0.5920
total fitness: 2.0122, overhead fitness: 0.5081, acc fitness: 0.9960
total fitness: 2.1355, overhead fitness: 0.5767, acc fitness: 0.9820
total fitness: 2.0151, overhead fitness: 0.5175, acc fitness: 0.9800
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9965, overhead fitness: 0.5013, acc fitness: 0.9940
total fitness: 2.2877, overhead fitness: 0.8588, acc fitness: 0.5700
total fitness: 2.4060, overhead fitness: 0.8590, acc fitness: 0.6880
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 2.1900, overhead fitness: 1.0000, acc fitness: 0.1900
total fitness: 2.4053, overhead fitness: 0.8517, acc fitness: 0.7020
total fitness: 2.1513, overhead fitness: 0.5866, acc fitness: 0.9780
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.0116, overhead fitness: 0.5078, acc fitness: 0.9960
total fitness: 2.2074, overhead fitness: 0.9907, acc fitness: 0.2260
total fitness: 2.2094, overhead fitness: 0.6177, acc fitness: 0.9740
total fitness: 2.0159, overhead fitness: 0.5109, acc fitness: 0.9940
total fitness: 2.1223, overhead fitness: 0.5811, acc fitness: 0.9600
total fitness: 2.1548, overhead fitness: 0.5874, acc fitness: 0.9800
total fitness: 1.9720, overhead fitness: 0.5000, acc fitness: 0.9720
total fitness: 2.1329, overhead fitness: 0.5765, acc fitness: 0.9800
total fitness: 2.1907, overhead fitness: 0.9973, acc fitness: 0.1960
total fitness: 2.1806, overhead fitness: 0.9923, acc fitness: 0.1960
total fitness: 2.0105, overhead fitness: 0.5062, acc fitness: 0.9980
total fitness: 2.0183, overhead fitness: 0.5102, acc fitness: 0.9980
total fitness: 2.0065, overhead fitness: 0.5063, acc fitness: 0.9940
total fitness: 2.0051, overhead fitness: 0.5035, acc fitness: 0.9980
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.1599, overhead fitness: 0.5870, acc fitness: 0.9860
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.1568, overhead fitness: 0.5874, acc fitness: 0.9820
total fitness: 1.9992, overhead fitness: 0.5026, acc fitness: 0.9940
total fitness: 2.3672, overhead fitness: 0.8596, acc fitness: 0.6480
total fitness: 1.9999, overhead fitness: 0.5030, acc fitness: 0.9940
total fitness: 2.0170, overhead fitness: 0.5105, acc fitness: 0.9960
