total fitness: 2.0736, overhead fitness: 0.5608, acc fitness: 0.9520
total fitness: 2.3853, overhead fitness: 0.9356, acc fitness: 0.5140
total fitness: 2.4879, overhead fitness: 0.9430, acc fitness: 0.6020
total fitness: 2.0648, overhead fitness: 0.5474, acc fitness: 0.9700
total fitness: 2.3666, overhead fitness: 0.9343, acc fitness: 0.4980
total fitness: 2.1001, overhead fitness: 0.5580, acc fitness: 0.9840
total fitness: 2.5522, overhead fitness: 0.9171, acc fitness: 0.7180
total fitness: 2.2935, overhead fitness: 0.9527, acc fitness: 0.3880
total fitness: 2.0861, overhead fitness: 0.5531, acc fitness: 0.9800
total fitness: 2.0647, overhead fitness: 0.5384, acc fitness: 0.9880
total fitness: 2.0764, overhead fitness: 0.5472, acc fitness: 0.9820
total fitness: 2.0596, overhead fitness: 0.5368, acc fitness: 0.9860
total fitness: 2.0842, overhead fitness: 0.5471, acc fitness: 0.9900
total fitness: 2.0850, overhead fitness: 0.5485, acc fitness: 0.9880
total fitness: 2.0820, overhead fitness: 0.5470, acc fitness: 0.9880
total fitness: 2.3810, overhead fitness: 0.9475, acc fitness: 0.4860
total fitness: 2.0247, overhead fitness: 0.5554, acc fitness: 0.9140
total fitness: 2.0559, overhead fitness: 0.5520, acc fitness: 0.9520
total fitness: 2.1004, overhead fitness: 0.5552, acc fitness: 0.9900
total fitness: 2.0930, overhead fitness: 0.5515, acc fitness: 0.9900
total fitness: 2.0741, overhead fitness: 0.5671, acc fitness: 0.9400
total fitness: 2.2627, overhead fitness: 0.6374, acc fitness: 0.9880
total fitness: 2.0616, overhead fitness: 0.5368, acc fitness: 0.9880
total fitness: 2.0805, overhead fitness: 0.5482, acc fitness: 0.9840
total fitness: 2.4379, overhead fitness: 0.9329, acc fitness: 0.5720
total fitness: 2.3831, overhead fitness: 0.9366, acc fitness: 0.5100
total fitness: 2.0639, overhead fitness: 0.5369, acc fitness: 0.9900
total fitness: 2.3041, overhead fitness: 0.9440, acc fitness: 0.4160
total fitness: 2.0700, overhead fitness: 0.5400, acc fitness: 0.9900
total fitness: 2.0455, overhead fitness: 0.5398, acc fitness: 0.9660
total fitness: 2.0634, overhead fitness: 0.5427, acc fitness: 0.9780
total fitness: 2.0580, overhead fitness: 0.5340, acc fitness: 0.9900
total fitness: 2.1149, overhead fitness: 0.5644, acc fitness: 0.9860
total fitness: 2.4431, overhead fitness: 0.9125, acc fitness: 0.6180
total fitness: 2.0576, overhead fitness: 0.5388, acc fitness: 0.9800
total fitness: 2.0374, overhead fitness: 0.5317, acc fitness: 0.9740
total fitness: 2.0524, overhead fitness: 0.5302, acc fitness: 0.9920
total fitness: 2.5723, overhead fitness: 0.9222, acc fitness: 0.7280
total fitness: 2.7326, overhead fitness: 0.9033, acc fitness: 0.9260
total fitness: 2.0507, overhead fitness: 0.5384, acc fitness: 0.9740
total fitness: 2.0846, overhead fitness: 0.5563, acc fitness: 0.9720
total fitness: 2.0561, overhead fitness: 0.5471, acc fitness: 0.9620
total fitness: 2.0814, overhead fitness: 0.5487, acc fitness: 0.9840
total fitness: 2.4649, overhead fitness: 0.9384, acc fitness: 0.5880
total fitness: 2.0720, overhead fitness: 0.5460, acc fitness: 0.9800
total fitness: 2.4576, overhead fitness: 0.9238, acc fitness: 0.6100
total fitness: 2.0277, overhead fitness: 0.5298, acc fitness: 0.9680
total fitness: 2.0953, overhead fitness: 0.5536, acc fitness: 0.9880
total fitness: 2.0750, overhead fitness: 0.5445, acc fitness: 0.9860
total fitness: 2.0575, overhead fitness: 0.5497, acc fitness: 0.9580
total fitness: 2.1206, overhead fitness: 0.5673, acc fitness: 0.9860
total fitness: 2.0638, overhead fitness: 0.5359, acc fitness: 0.9920
total fitness: 2.0623, overhead fitness: 0.5392, acc fitness: 0.9840
total fitness: 2.4811, overhead fitness: 0.8935, acc fitness: 0.6940
total fitness: 2.1242, overhead fitness: 0.5701, acc fitness: 0.9840
total fitness: 2.0875, overhead fitness: 0.5457, acc fitness: 0.9960
total fitness: 2.5060, overhead fitness: 0.9490, acc fitness: 0.6080
total fitness: 2.0610, overhead fitness: 0.5315, acc fitness: 0.9980
total fitness: 2.1158, overhead fitness: 0.5629, acc fitness: 0.9900
total fitness: 2.4456, overhead fitness: 0.8588, acc fitness: 0.7280
total fitness: 2.5049, overhead fitness: 0.9365, acc fitness: 0.6320
total fitness: 2.6856, overhead fitness: 0.8848, acc fitness: 0.9160
total fitness: 2.3205, overhead fitness: 0.9142, acc fitness: 0.4920
total fitness: 2.0904, overhead fitness: 0.5512, acc fitness: 0.9880
total fitness: 2.5167, overhead fitness: 0.9054, acc fitness: 0.7060
total fitness: 2.5257, overhead fitness: 0.9348, acc fitness: 0.6560
total fitness: 2.0728, overhead fitness: 0.5414, acc fitness: 0.9900
total fitness: 2.0317, overhead fitness: 0.5308, acc fitness: 0.9700
total fitness: 2.0268, overhead fitness: 0.5474, acc fitness: 0.9320
total fitness: 2.6680, overhead fitness: 0.8500, acc fitness: 0.9680
total fitness: 2.0726, overhead fitness: 0.5393, acc fitness: 0.9940
total fitness: 2.0481, overhead fitness: 0.5431, acc fitness: 0.9620
total fitness: 2.0653, overhead fitness: 0.5397, acc fitness: 0.9860
total fitness: 2.5619, overhead fitness: 0.9000, acc fitness: 0.7620
total fitness: 2.0781, overhead fitness: 0.5581, acc fitness: 0.9620
total fitness: 2.0227, overhead fitness: 0.5324, acc fitness: 0.9580
total fitness: 2.0799, overhead fitness: 0.5419, acc fitness: 0.9960
total fitness: 2.0455, overhead fitness: 0.5448, acc fitness: 0.9560
total fitness: 2.2773, overhead fitness: 0.9546, acc fitness: 0.3680
total fitness: 2.0673, overhead fitness: 0.5397, acc fitness: 0.9880
total fitness: 2.0392, overhead fitness: 0.5306, acc fitness: 0.9780
total fitness: 2.1738, overhead fitness: 0.5919, acc fitness: 0.9900
total fitness: 2.4199, overhead fitness: 0.9249, acc fitness: 0.5700
total fitness: 2.0829, overhead fitness: 0.5495, acc fitness: 0.9840
total fitness: 2.1130, overhead fitness: 0.5595, acc fitness: 0.9940
total fitness: 2.0620, overhead fitness: 0.5390, acc fitness: 0.9840
total fitness: 2.0682, overhead fitness: 0.5461, acc fitness: 0.9760
total fitness: 2.6948, overhead fitness: 0.8634, acc fitness: 0.9680
total fitness: 2.7418, overhead fitness: 0.8879, acc fitness: 0.9660
total fitness: 2.5417, overhead fitness: 0.9188, acc fitness: 0.7040
total fitness: 2.0750, overhead fitness: 0.5575, acc fitness: 0.9600
total fitness: 2.3680, overhead fitness: 0.7470, acc fitness: 0.8740
total fitness: 2.0625, overhead fitness: 0.5412, acc fitness: 0.9800
total fitness: 2.0782, overhead fitness: 0.5511, acc fitness: 0.9760
total fitness: 2.0831, overhead fitness: 0.5545, acc fitness: 0.9740
