total fitness: 2.0557, overhead fitness: 0.5429, acc fitness: 0.9700
BEST OF GEN 0: test overhead = 0.4555, test acc = 0.0415
GEN 0: best fitness = 2.0557 (took 228.94 sec)
total fitness: 1.9421, overhead fitness: 0.5000, acc fitness: 0.9420
total fitness: 2.1114, overhead fitness: 0.5847, acc fitness: 0.9420
total fitness: 1.9677, overhead fitness: 0.5008, acc fitness: 0.9660
total fitness: 2.0002, overhead fitness: 0.5021, acc fitness: 0.9960
total fitness: 1.9922, overhead fitness: 0.5041, acc fitness: 0.9840
total fitness: 2.0418, overhead fitness: 0.5639, acc fitness: 0.9140
total fitness: 2.0244, overhead fitness: 0.5152, acc fitness: 0.9940
total fitness: 1.9954, overhead fitness: 0.5067, acc fitness: 0.9820
total fitness: 1.9972, overhead fitness: 0.5076, acc fitness: 0.9820
total fitness: 1.9872, overhead fitness: 0.5006, acc fitness: 0.9860
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 2.1287, overhead fitness: 0.5733, acc fitness: 0.9820
total fitness: 2.1037, overhead fitness: 0.5719, acc fitness: 0.9600
total fitness: 1.9630, overhead fitness: 0.5075, acc fitness: 0.9480
total fitness: 1.9680, overhead fitness: 0.5000, acc fitness: 0.9680
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 2.1388, overhead fitness: 0.5954, acc fitness: 0.9480
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 2.1132, overhead fitness: 0.5636, acc fitness: 0.9860
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 1.9898, overhead fitness: 0.5019, acc fitness: 0.9860
total fitness: 2.0038, overhead fitness: 0.5069, acc fitness: 0.9900
total fitness: 1.9909, overhead fitness: 0.5014, acc fitness: 0.9880
total fitness: 1.9879, overhead fitness: 0.5009, acc fitness: 0.9860
total fitness: 2.1341, overhead fitness: 0.5920, acc fitness: 0.9500
total fitness: 1.9981, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 2.0034, overhead fitness: 0.5047, acc fitness: 0.9940
total fitness: 2.2348, overhead fitness: 0.6384, acc fitness: 0.9580
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 2.0897, overhead fitness: 0.5548, acc fitness: 0.9800
total fitness: 1.9503, overhead fitness: 0.5022, acc fitness: 0.9460
total fitness: 2.1069, overhead fitness: 0.5634, acc fitness: 0.9800
total fitness: 2.0046, overhead fitness: 0.5053, acc fitness: 0.9940
total fitness: 1.9680, overhead fitness: 0.5000, acc fitness: 0.9680
total fitness: 2.1348, overhead fitness: 0.5804, acc fitness: 0.9740
total fitness: 2.0923, overhead fitness: 0.5661, acc fitness: 0.9600
total fitness: 1.9860, overhead fitness: 0.5000, acc fitness: 0.9860
total fitness: 1.9760, overhead fitness: 0.5000, acc fitness: 0.9760
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 1.9696, overhead fitness: 0.5008, acc fitness: 0.9680
total fitness: 1.9984, overhead fitness: 0.5052, acc fitness: 0.9880
total fitness: 2.0012, overhead fitness: 0.5066, acc fitness: 0.9880
total fitness: 2.0022, overhead fitness: 0.5061, acc fitness: 0.9900
total fitness: 1.9580, overhead fitness: 0.5000, acc fitness: 0.9580
total fitness: 2.1150, overhead fitness: 0.5715, acc fitness: 0.9720
total fitness: 1.9520, overhead fitness: 0.5000, acc fitness: 0.9520
