total fitness: 2.2010, overhead fitness: 0.8715, acc fitness: 0.4580
BEST OF GEN 0: test overhead = 0.1280, test acc = 0.5332
GEN 0: best fitness = 2.2010 (took 167.23 sec)
total fitness: 2.1024, overhead fitness: 0.9622, acc fitness: 0.1780
total fitness: 2.0711, overhead fitness: 0.5925, acc fitness: 0.8860
total fitness: 2.1120, overhead fitness: 0.5660, acc fitness: 0.9800
total fitness: 2.0553, overhead fitness: 0.5367, acc fitness: 0.9820
total fitness: 2.1932, overhead fitness: 0.9636, acc fitness: 0.2660
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 1.9706, overhead fitness: 0.5003, acc fitness: 0.9700
total fitness: 1.9650, overhead fitness: 0.5015, acc fitness: 0.9620
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.2878, overhead fitness: 0.8059, acc fitness: 0.6760
total fitness: 2.1309, overhead fitness: 0.9855, acc fitness: 0.1600
total fitness: 2.2299, overhead fitness: 0.9369, acc fitness: 0.3560
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 1.9607, overhead fitness: 0.5153, acc fitness: 0.9300
total fitness: 1.9888, overhead fitness: 0.5004, acc fitness: 0.9880
total fitness: 2.0541, overhead fitness: 0.9441, acc fitness: 0.1660
total fitness: 2.0234, overhead fitness: 0.5577, acc fitness: 0.9080
total fitness: 1.9935, overhead fitness: 0.5058, acc fitness: 0.9820
total fitness: 2.1060, overhead fitness: 0.6240, acc fitness: 0.8580
total fitness: 1.9880, overhead fitness: 0.5070, acc fitness: 0.9740
total fitness: 2.0564, overhead fitness: 0.5422, acc fitness: 0.9720
total fitness: 2.1114, overhead fitness: 0.9727, acc fitness: 0.1660
total fitness: 2.0578, overhead fitness: 0.9049, acc fitness: 0.2480
total fitness: 2.1424, overhead fitness: 0.9452, acc fitness: 0.2520
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.1778, overhead fitness: 0.8399, acc fitness: 0.4980
total fitness: 2.2350, overhead fitness: 0.9585, acc fitness: 0.3180
total fitness: 2.2997, overhead fitness: 0.9559, acc fitness: 0.3880
total fitness: 2.3443, overhead fitness: 0.8441, acc fitness: 0.6560
total fitness: 2.0428, overhead fitness: 0.5344, acc fitness: 0.9740
total fitness: 1.9540, overhead fitness: 0.5000, acc fitness: 0.9540
total fitness: 2.2308, overhead fitness: 0.9604, acc fitness: 0.3100
total fitness: 2.1383, overhead fitness: 0.9361, acc fitness: 0.2660
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 1.9500, overhead fitness: 0.5000, acc fitness: 0.9500
total fitness: 2.2542, overhead fitness: 0.9591, acc fitness: 0.3360
total fitness: 1.9377, overhead fitness: 0.5028, acc fitness: 0.9320
total fitness: 1.9916, overhead fitness: 0.5018, acc fitness: 0.9880
total fitness: 1.9926, overhead fitness: 0.5023, acc fitness: 0.9880
total fitness: 2.2415, overhead fitness: 0.9118, acc fitness: 0.4180
total fitness: 2.1888, overhead fitness: 0.8104, acc fitness: 0.5680
total fitness: 2.4345, overhead fitness: 0.7553, acc fitness: 0.9240
total fitness: 2.1655, overhead fitness: 0.8148, acc fitness: 0.5360
total fitness: 2.1893, overhead fitness: 0.9726, acc fitness: 0.2440
total fitness: 2.0793, overhead fitness: 0.9416, acc fitness: 0.1960
total fitness: 2.5593, overhead fitness: 0.8047, acc fitness: 0.9500
total fitness: 2.2396, overhead fitness: 0.9148, acc fitness: 0.4100
total fitness: 1.9621, overhead fitness: 0.5171, acc fitness: 0.9280
total fitness: 2.6494, overhead fitness: 0.9337, acc fitness: 0.7820
total fitness: 2.5284, overhead fitness: 0.7802, acc fitness: 0.9680
total fitness: 2.1408, overhead fitness: 0.5774, acc fitness: 0.9860
total fitness: 2.1170, overhead fitness: 0.9285, acc fitness: 0.2600
total fitness: 2.0836, overhead fitness: 0.9508, acc fitness: 0.1820
total fitness: 2.4198, overhead fitness: 0.8149, acc fitness: 0.7900
total fitness: 1.9827, overhead fitness: 0.5004, acc fitness: 0.9820
total fitness: 1.9672, overhead fitness: 0.5156, acc fitness: 0.9360
total fitness: 2.1020, overhead fitness: 0.9800, acc fitness: 0.1420
total fitness: 1.9933, overhead fitness: 0.5306, acc fitness: 0.9320
total fitness: 1.9758, overhead fitness: 0.5019, acc fitness: 0.9720
total fitness: 1.9798, overhead fitness: 0.5019, acc fitness: 0.9760
total fitness: 2.1125, overhead fitness: 0.9863, acc fitness: 0.1400
total fitness: 2.3723, overhead fitness: 0.7581, acc fitness: 0.8560
total fitness: 2.4543, overhead fitness: 0.7772, acc fitness: 0.9000
