total fitness: 2.1121, overhead fitness: 0.5631, acc fitness: 0.9860
BEST OF GEN 0: test overhead = 0.4383, test acc = 0.0181
GEN 0: best fitness = 2.1121 (took 227.20 sec)
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 1.9938, overhead fitness: 0.5049, acc fitness: 0.9840
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.0086, overhead fitness: 0.5043, acc fitness: 1.0000
total fitness: 2.0145, overhead fitness: 0.5072, acc fitness: 1.0000
total fitness: 2.0090, overhead fitness: 0.5065, acc fitness: 0.9960
total fitness: 2.1077, overhead fitness: 0.5678, acc fitness: 0.9720
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.0034, overhead fitness: 0.5037, acc fitness: 0.9960
total fitness: 2.1330, overhead fitness: 0.5805, acc fitness: 0.9720
total fitness: 2.1192, overhead fitness: 0.5706, acc fitness: 0.9780
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.0087, overhead fitness: 0.5064, acc fitness: 0.9960
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.0242, overhead fitness: 0.5121, acc fitness: 1.0000
total fitness: 2.0042, overhead fitness: 0.5041, acc fitness: 0.9960
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.0051, overhead fitness: 0.5045, acc fitness: 0.9960
total fitness: 2.1420, overhead fitness: 0.5840, acc fitness: 0.9740
total fitness: 2.1463, overhead fitness: 0.5861, acc fitness: 0.9740
total fitness: 2.1149, overhead fitness: 0.5715, acc fitness: 0.9720
total fitness: 2.0131, overhead fitness: 0.5085, acc fitness: 0.9960
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.1246, overhead fitness: 0.5753, acc fitness: 0.9740
total fitness: 2.1151, overhead fitness: 0.5706, acc fitness: 0.9740
total fitness: 2.0164, overhead fitness: 0.5102, acc fitness: 0.9960
total fitness: 2.1574, overhead fitness: 0.5917, acc fitness: 0.9740
total fitness: 2.0187, overhead fitness: 0.5094, acc fitness: 1.0000
total fitness: 2.1320, overhead fitness: 0.5760, acc fitness: 0.9800
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.0069, overhead fitness: 0.5034, acc fitness: 1.0000
total fitness: 2.1176, overhead fitness: 0.5718, acc fitness: 0.9740
total fitness: 2.0112, overhead fitness: 0.5076, acc fitness: 0.9960
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.0052, overhead fitness: 0.5026, acc fitness: 1.0000
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 2.0107, overhead fitness: 0.5053, acc fitness: 1.0000
total fitness: 2.0094, overhead fitness: 0.5047, acc fitness: 1.0000
total fitness: 2.1209, overhead fitness: 0.5745, acc fitness: 0.9720
total fitness: 2.1341, overhead fitness: 0.5790, acc fitness: 0.9760
total fitness: 2.1266, overhead fitness: 0.5733, acc fitness: 0.9800
total fitness: 2.0011, overhead fitness: 0.5006, acc fitness: 1.0000
total fitness: 2.1177, overhead fitness: 0.5719, acc fitness: 0.9740
total fitness: 2.0257, overhead fitness: 0.5128, acc fitness: 1.0000
total fitness: 2.0116, overhead fitness: 0.5078, acc fitness: 0.9960
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
total fitness: 1.9895, overhead fitness: 0.5007, acc fitness: 0.9880
total fitness: 2.0099, overhead fitness: 0.5070, acc fitness: 0.9960
total fitness: 2.0129, overhead fitness: 0.5084, acc fitness: 0.9960
total fitness: 2.1111, overhead fitness: 0.5686, acc fitness: 0.9740
total fitness: 2.0061, overhead fitness: 0.5050, acc fitness: 0.9960
total fitness: 2.0038, overhead fitness: 0.5039, acc fitness: 0.9960
total fitness: 2.1110, overhead fitness: 0.5695, acc fitness: 0.9720
total fitness: 2.1122, overhead fitness: 0.5681, acc fitness: 0.9760
total fitness: 2.0119, overhead fitness: 0.5079, acc fitness: 0.9960
total fitness: 2.0046, overhead fitness: 0.5023, acc fitness: 1.0000
total fitness: 2.1198, overhead fitness: 0.5709, acc fitness: 0.9780
total fitness: 2.0015, overhead fitness: 0.5028, acc fitness: 0.9960
total fitness: 2.0006, overhead fitness: 0.5023, acc fitness: 0.9960
total fitness: 2.0152, overhead fitness: 0.5076, acc fitness: 1.0000
total fitness: 2.0161, overhead fitness: 0.5101, acc fitness: 0.9960
total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 2.0000, overhead fitness: 0.5000, acc fitness: 1.0000
