total fitness: 2.3245, overhead fitness: 0.8562, acc fitness: 0.6120
total fitness: 2.0655, overhead fitness: 0.5407, acc fitness: 0.9840
total fitness: 2.0981, overhead fitness: 0.5520, acc fitness: 0.9940
total fitness: 2.0525, overhead fitness: 0.5323, acc fitness: 0.9880
total fitness: 2.3648, overhead fitness: 0.8974, acc fitness: 0.5700
total fitness: 2.6270, overhead fitness: 0.9275, acc fitness: 0.7720
total fitness: 2.0789, overhead fitness: 0.5445, acc fitness: 0.9900
total fitness: 2.0343, overhead fitness: 0.5371, acc fitness: 0.9600
total fitness: 2.0808, overhead fitness: 0.5484, acc fitness: 0.9840
total fitness: 2.0508, overhead fitness: 0.5524, acc fitness: 0.9460
total fitness: 2.0701, overhead fitness: 0.5421, acc fitness: 0.9860
total fitness: 2.0571, overhead fitness: 0.5485, acc fitness: 0.9600
total fitness: 2.0626, overhead fitness: 0.5373, acc fitness: 0.9880
total fitness: 2.6207, overhead fitness: 0.9294, acc fitness: 0.7620
total fitness: 2.3419, overhead fitness: 0.8979, acc fitness: 0.5460
total fitness: 2.3967, overhead fitness: 0.8964, acc fitness: 0.6040
total fitness: 2.0348, overhead fitness: 0.5354, acc fitness: 0.9640
total fitness: 2.1045, overhead fitness: 0.5603, acc fitness: 0.9840
total fitness: 2.6510, overhead fitness: 0.9115, acc fitness: 0.8280
total fitness: 2.0663, overhead fitness: 0.5412, acc fitness: 0.9840
total fitness: 2.0195, overhead fitness: 0.5287, acc fitness: 0.9620
total fitness: 2.0896, overhead fitness: 0.5458, acc fitness: 0.9980
total fitness: 2.4972, overhead fitness: 0.9206, acc fitness: 0.6560
total fitness: 2.0492, overhead fitness: 0.5466, acc fitness: 0.9560
total fitness: 2.0748, overhead fitness: 0.5434, acc fitness: 0.9880
total fitness: 2.0710, overhead fitness: 0.5515, acc fitness: 0.9680
total fitness: 2.0893, overhead fitness: 0.5526, acc fitness: 0.9840
total fitness: 2.4602, overhead fitness: 0.9431, acc fitness: 0.5740
