total fitness: 2.0569, overhead fitness: 0.5464, acc fitness: 0.9640
total fitness: 2.1203, overhead fitness: 0.5651, acc fitness: 0.9900
total fitness: 2.0918, overhead fitness: 0.5509, acc fitness: 0.9900
total fitness: 2.5309, overhead fitness: 0.9194, acc fitness: 0.6920
total fitness: 2.3632, overhead fitness: 0.9376, acc fitness: 0.4880
total fitness: 2.0645, overhead fitness: 0.5583, acc fitness: 0.9480
total fitness: 2.0886, overhead fitness: 0.5523, acc fitness: 0.9840
total fitness: 2.0753, overhead fitness: 0.5476, acc fitness: 0.9800
total fitness: 2.4108, overhead fitness: 0.9184, acc fitness: 0.5740
total fitness: 2.0929, overhead fitness: 0.5624, acc fitness: 0.9680
total fitness: 2.0502, overhead fitness: 0.5401, acc fitness: 0.9700
total fitness: 2.0864, overhead fitness: 0.5432, acc fitness: 1.0000
total fitness: 2.5756, overhead fitness: 0.9288, acc fitness: 0.7180
total fitness: 2.0520, overhead fitness: 0.5470, acc fitness: 0.9580
total fitness: 2.0827, overhead fitness: 0.5463, acc fitness: 0.9900
total fitness: 2.0871, overhead fitness: 0.5485, acc fitness: 0.9900
total fitness: 2.6753, overhead fitness: 0.8496, acc fitness: 0.9760
total fitness: 2.6620, overhead fitness: 0.8930, acc fitness: 0.8760
total fitness: 2.5191, overhead fitness: 0.9305, acc fitness: 0.6580
total fitness: 2.5688, overhead fitness: 0.9244, acc fitness: 0.7200
total fitness: 2.0858, overhead fitness: 0.5529, acc fitness: 0.9800
total fitness: 2.0403, overhead fitness: 0.5401, acc fitness: 0.9600
total fitness: 2.0612, overhead fitness: 0.5446, acc fitness: 0.9720
total fitness: 2.0891, overhead fitness: 0.5485, acc fitness: 0.9920
total fitness: 2.0653, overhead fitness: 0.5377, acc fitness: 0.9900
total fitness: 2.4400, overhead fitness: 0.9060, acc fitness: 0.6280
total fitness: 2.0383, overhead fitness: 0.5421, acc fitness: 0.9540
total fitness: 2.1005, overhead fitness: 0.5562, acc fitness: 0.9880
total fitness: 2.0789, overhead fitness: 0.5524, acc fitness: 0.9740
total fitness: 2.0432, overhead fitness: 0.5406, acc fitness: 0.9620
total fitness: 2.0981, overhead fitness: 0.5561, acc fitness: 0.9860
total fitness: 2.3860, overhead fitness: 0.9360, acc fitness: 0.5140
total fitness: 2.4756, overhead fitness: 0.9318, acc fitness: 0.6120
total fitness: 2.7208, overhead fitness: 0.8854, acc fitness: 0.9500
total fitness: 2.0393, overhead fitness: 0.5516, acc fitness: 0.9360
total fitness: 2.4009, overhead fitness: 0.9484, acc fitness: 0.5040
total fitness: 2.0599, overhead fitness: 0.5410, acc fitness: 0.9780
total fitness: 2.1586, overhead fitness: 0.5863, acc fitness: 0.9860
total fitness: 2.0556, overhead fitness: 0.5508, acc fitness: 0.9540
total fitness: 2.0616, overhead fitness: 0.5468, acc fitness: 0.9680
total fitness: 2.0726, overhead fitness: 0.5453, acc fitness: 0.9820
total fitness: 2.0496, overhead fitness: 0.5418, acc fitness: 0.9660
total fitness: 2.0792, overhead fitness: 0.5446, acc fitness: 0.9900
total fitness: 2.0654, overhead fitness: 0.5407, acc fitness: 0.9840
total fitness: 2.0692, overhead fitness: 0.5386, acc fitness: 0.9920
total fitness: 2.0688, overhead fitness: 0.5414, acc fitness: 0.9860
total fitness: 2.4365, overhead fitness: 0.8722, acc fitness: 0.6920
total fitness: 2.4811, overhead fitness: 0.8895, acc fitness: 0.7020
total fitness: 2.4415, overhead fitness: 0.9058, acc fitness: 0.6300
total fitness: 2.6413, overhead fitness: 0.9176, acc fitness: 0.8060
total fitness: 2.0594, overhead fitness: 0.5387, acc fitness: 0.9820
total fitness: 2.5794, overhead fitness: 0.9247, acc fitness: 0.7300
total fitness: 2.0750, overhead fitness: 0.5435, acc fitness: 0.9880
total fitness: 2.3693, overhead fitness: 0.9427, acc fitness: 0.4840
total fitness: 2.0693, overhead fitness: 0.5427, acc fitness: 0.9840
total fitness: 2.0485, overhead fitness: 0.5452, acc fitness: 0.9580
total fitness: 2.0990, overhead fitness: 0.5515, acc fitness: 0.9960
total fitness: 2.0320, overhead fitness: 0.5400, acc fitness: 0.9520
total fitness: 2.0686, overhead fitness: 0.5403, acc fitness: 0.9880
total fitness: 2.3555, overhead fitness: 0.9408, acc fitness: 0.4740
total fitness: 2.0985, overhead fitness: 0.5553, acc fitness: 0.9880
total fitness: 2.5985, overhead fitness: 0.9182, acc fitness: 0.7620
total fitness: 2.4863, overhead fitness: 0.8911, acc fitness: 0.7040
total fitness: 2.0599, overhead fitness: 0.5539, acc fitness: 0.9520
total fitness: 2.5064, overhead fitness: 0.9182, acc fitness: 0.6700
total fitness: 2.0574, overhead fitness: 0.5437, acc fitness: 0.9700
total fitness: 2.4676, overhead fitness: 0.9138, acc fitness: 0.6400
total fitness: 2.0759, overhead fitness: 0.5489, acc fitness: 0.9780
total fitness: 2.0931, overhead fitness: 0.5516, acc fitness: 0.9900
total fitness: 2.3780, overhead fitness: 0.8760, acc fitness: 0.6260
total fitness: 2.0749, overhead fitness: 0.5585, acc fitness: 0.9580
total fitness: 2.0594, overhead fitness: 0.5447, acc fitness: 0.9700
total fitness: 2.4637, overhead fitness: 0.8598, acc fitness: 0.7440
total fitness: 2.4007, overhead fitness: 0.9304, acc fitness: 0.5400
total fitness: 2.4187, overhead fitness: 0.9283, acc fitness: 0.5620
total fitness: 2.5383, overhead fitness: 0.8982, acc fitness: 0.7420
total fitness: 2.0963, overhead fitness: 0.5652, acc fitness: 0.9660
total fitness: 2.7226, overhead fitness: 0.9023, acc fitness: 0.9180
total fitness: 2.0394, overhead fitness: 0.5397, acc fitness: 0.9600
total fitness: 2.4759, overhead fitness: 0.9280, acc fitness: 0.6200
total fitness: 2.4486, overhead fitness: 0.9153, acc fitness: 0.6180
total fitness: 2.0827, overhead fitness: 0.5433, acc fitness: 0.9960
total fitness: 2.0782, overhead fitness: 0.5441, acc fitness: 0.9900
total fitness: 2.5284, overhead fitness: 0.9272, acc fitness: 0.6740
total fitness: 2.4839, overhead fitness: 0.9209, acc fitness: 0.6420
total fitness: 2.0445, overhead fitness: 0.5373, acc fitness: 0.9700
total fitness: 2.1238, overhead fitness: 0.5689, acc fitness: 0.9860
total fitness: 2.0701, overhead fitness: 0.5401, acc fitness: 0.9900
total fitness: 2.0820, overhead fitness: 0.5470, acc fitness: 0.9880
total fitness: 2.0977, overhead fitness: 0.5599, acc fitness: 0.9780
total fitness: 2.6129, overhead fitness: 0.9074, acc fitness: 0.7980
total fitness: 2.5180, overhead fitness: 0.9270, acc fitness: 0.6640
total fitness: 2.0774, overhead fitness: 0.5477, acc fitness: 0.9820
total fitness: 2.0482, overhead fitness: 0.5431, acc fitness: 0.9620
total fitness: 2.0949, overhead fitness: 0.5555, acc fitness: 0.9840
