total fitness: 2.5090, overhead fitness: 0.9035, acc fitness: 0.7020
total fitness: 2.0290, overhead fitness: 0.5405, acc fitness: 0.9480
total fitness: 2.6780, overhead fitness: 0.8880, acc fitness: 0.9020
total fitness: 2.3094, overhead fitness: 0.7787, acc fitness: 0.7520
total fitness: 2.0767, overhead fitness: 0.5463, acc fitness: 0.9840
total fitness: 2.0063, overhead fitness: 0.5411, acc fitness: 0.9240
total fitness: 2.0689, overhead fitness: 0.5365, acc fitness: 0.9960
total fitness: 2.2404, overhead fitness: 0.9242, acc fitness: 0.3920
total fitness: 2.1427, overhead fitness: 0.5744, acc fitness: 0.9940
total fitness: 2.2148, overhead fitness: 0.9214, acc fitness: 0.3720
total fitness: 2.0602, overhead fitness: 0.5431, acc fitness: 0.9740
total fitness: 2.0610, overhead fitness: 0.5465, acc fitness: 0.9680
BEST OF GEN 0: test overhead = 0.0851, test acc = 0.0590
GEN 0: best fitness = 2.7794 (took 444.63 sec)
total fitness: 2.7671, overhead fitness: 0.9805, acc fitness: 0.8060
total fitness: 1.9844, overhead fitness: 0.5002, acc fitness: 0.9840
total fitness: 2.2737, overhead fitness: 0.9389, acc fitness: 0.3960
total fitness: 2.8260, overhead fitness: 0.9650, acc fitness: 0.8960
total fitness: 1.9851, overhead fitness: 0.5005, acc fitness: 0.9840
total fitness: 2.7697, overhead fitness: 0.9798, acc fitness: 0.8100
total fitness: 2.6657, overhead fitness: 0.8378, acc fitness: 0.9900
total fitness: 2.4651, overhead fitness: 0.7535, acc fitness: 0.9580
total fitness: 2.0435, overhead fitness: 0.5228, acc fitness: 0.9980
total fitness: 2.4403, overhead fitness: 0.7872, acc fitness: 0.8660
total fitness: 2.6693, overhead fitness: 0.8737, acc fitness: 0.9220
total fitness: 2.2784, overhead fitness: 0.8652, acc fitness: 0.5480
total fitness: 1.9983, overhead fitness: 0.5022, acc fitness: 0.9940
total fitness: 2.5668, overhead fitness: 0.9774, acc fitness: 0.6120
total fitness: 2.4526, overhead fitness: 0.7933, acc fitness: 0.8660
total fitness: 2.5795, overhead fitness: 0.8277, acc fitness: 0.9240
total fitness: 1.9843, overhead fitness: 0.5002, acc fitness: 0.9840
total fitness: 2.3498, overhead fitness: 0.9619, acc fitness: 0.4260
total fitness: 2.8370, overhead fitness: 0.9655, acc fitness: 0.9060
total fitness: 2.5533, overhead fitness: 0.8347, acc fitness: 0.8840
total fitness: 2.8107, overhead fitness: 0.9724, acc fitness: 0.8660
total fitness: 2.4574, overhead fitness: 0.8577, acc fitness: 0.7420
total fitness: 2.6456, overhead fitness: 0.9648, acc fitness: 0.7160
total fitness: 2.2761, overhead fitness: 0.8590, acc fitness: 0.5580
total fitness: 2.5739, overhead fitness: 0.8109, acc fitness: 0.9520
total fitness: 2.7859, overhead fitness: 0.9680, acc fitness: 0.8500
total fitness: 2.7268, overhead fitness: 0.9264, acc fitness: 0.8740
total fitness: 2.3149, overhead fitness: 0.9255, acc fitness: 0.4640
total fitness: 2.7646, overhead fitness: 0.9683, acc fitness: 0.8280
total fitness: 2.7934, overhead fitness: 0.9767, acc fitness: 0.8400
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.2013, overhead fitness: 0.6097, acc fitness: 0.9820
total fitness: 2.0454, overhead fitness: 0.8137, acc fitness: 0.4180
total fitness: 2.8265, overhead fitness: 0.9713, acc fitness: 0.8840
total fitness: 2.8294, overhead fitness: 0.9657, acc fitness: 0.8980
total fitness: 2.6311, overhead fitness: 0.8175, acc fitness: 0.9960
total fitness: 2.6063, overhead fitness: 0.9381, acc fitness: 0.7300
total fitness: 2.8045, overhead fitness: 0.9593, acc fitness: 0.8860
total fitness: 2.6388, overhead fitness: 0.8214, acc fitness: 0.9960
total fitness: 2.0168, overhead fitness: 0.5134, acc fitness: 0.9900
total fitness: 2.1089, overhead fitness: 0.5605, acc fitness: 0.9880
total fitness: 2.6910, overhead fitness: 0.8605, acc fitness: 0.9700
total fitness: 2.7819, overhead fitness: 0.9779, acc fitness: 0.8260
total fitness: 1.9891, overhead fitness: 0.5025, acc fitness: 0.9840
total fitness: 2.6222, overhead fitness: 0.8131, acc fitness: 0.9960
total fitness: 2.6895, overhead fitness: 0.9867, acc fitness: 0.7160
total fitness: 2.6127, overhead fitness: 0.8083, acc fitness: 0.9960
total fitness: 2.8166, overhead fitness: 0.9693, acc fitness: 0.8780
total fitness: 1.9941, overhead fitness: 0.5031, acc fitness: 0.9880
total fitness: 2.3898, overhead fitness: 0.9619, acc fitness: 0.4660
total fitness: 2.7058, overhead fitness: 0.9639, acc fitness: 0.7780
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.6489, overhead fitness: 0.8284, acc fitness: 0.9920
total fitness: 2.5811, overhead fitness: 0.8316, acc fitness: 0.9180
total fitness: 2.6820, overhead fitness: 0.8620, acc fitness: 0.9580
total fitness: 2.6635, overhead fitness: 0.8388, acc fitness: 0.9860
total fitness: 2.7671, overhead fitness: 0.9806, acc fitness: 0.8060
total fitness: 2.6621, overhead fitness: 0.8370, acc fitness: 0.9880
total fitness: 2.8039, overhead fitness: 0.9669, acc fitness: 0.8700
total fitness: 2.8157, overhead fitness: 0.9339, acc fitness: 0.9480
total fitness: 2.6890, overhead fitness: 0.8555, acc fitness: 0.9780
total fitness: 2.5255, overhead fitness: 0.7678, acc fitness: 0.9900
total fitness: 2.7998, overhead fitness: 0.9259, acc fitness: 0.9480
total fitness: 2.1942, overhead fitness: 0.5991, acc fitness: 0.9960
total fitness: 2.8135, overhead fitness: 0.9678, acc fitness: 0.8780
total fitness: 2.3897, overhead fitness: 0.8509, acc fitness: 0.6880
total fitness: 2.1581, overhead fitness: 0.8421, acc fitness: 0.4740
total fitness: 2.4973, overhead fitness: 0.8366, acc fitness: 0.8240
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
